,Plant Category,Seed Name,Average Temperature (2 m),Average Precipitation per day,Average Soil Temperature (0 to 6 cm),Average Soil Moisture (0-3 cm),Average Evapotranspiration,Average Sunshine Duration,Humidity(%),Soil Type,Best Growing Areas,Season,Wind Threshold(km/h),Heat Wave Maximum Temprature (°C),Rainfall Alert Maximum Rain (mm),Watering (hours interval),List of Fertilization,Time Period for Fertilization (weeks interval),Maximum Height of Plant (inches),Maximum area this plant require (inches),Soil depth for sowing (inches),Plant name
420,Annual Flowering Plant,Pourpier d'été doré,20,5,15,0.3,3,18000,60,"[""Sandy"",""Loamy"",""Clay""]","[""Mediterranean"",""Subtropical"",""Temperate""]","[""Start of summer"",""Spring"",""Autumn""]",40,35,50,24,"[""Organic compost"",""Liquid seaweed fertilizer""]",4,8,12,0.5,"pourpier d'été doré
le sachet de +/- 1000 graines"
421,Flowering plant,Pourpier d'été vert,25,10,20,0.2,5,6000,70,"[""Loamy soil"",""Sandy soil""]","[""Mediterranean region"",""Southern Europe"",""North Africa""]","[""Summer""]",20,35,30,48,"[""All-purpose fertilizer"",""Organic compost""]",4,8,12,0.2,"pourpier d'été vert
le sachet de +/- 1000 graines"
422,Vegetable,Radis Rond Écarlate Sora,20,5,18,0.4,3,600,60,"[""Sandy loam"",""Loam"",""Clay loam""]","[""France"",""Belgium"",""Canada""]","[""Spring"",""Autumn""]",30,35,20,24,"[""NPK fertilizer"",""Organic compost""]",2,10,6,0.5,"radis rond écarlate sora
le sachet de +/- 510 graines"
423,Vegetable,Radis Cherry Belle,20,5,15,0.3,3,6000,60,"[""Sandy loam"",""Loam"",""Clay loam""]","[""Mediterranean region"",""Central Europe"",""North America""]","[""Spring"",""Autumn""]",40,35,20,24,"[""Nitrogen"",""Phosphorus"",""Potassium""]",2,6,12,0.5,"radis cherry belle
le sachet de +/- 470 graines"
424,Vegetable,Radis Chandelle de Glace,20,5,15,0.3,3,18000,50,"[""Loamy"",""Sandy""]","[""Temperate regions"",""Well-drained soil areas""]","[""Spring"",""Autumn""]",40,30,20,72,"[""Nitrogen-based fertilizer"",""Phosphorus-based fertilizer""]",3,12,6,1,"radis chandelle de glace
le sachet de +/- 470 graines"
425,Vegetable,Radis Flamboyant 3,20,5,15,0.4,3,18000,60,"[""Loamy"",""Sandy"",""Clay""]","[""Temperate regions"",""Mild climates""]","[""Spring"",""Autumn""]",40,35,30,24,"[""Nitrogen-based"",""Phosphorus-based""]",2,20,6,1,"radis flamboyant 3
le sachet de +/- 470 graines"
426,Vegetable,Radis French Breakfast 2,18,2,15,0.2,3,6000,60,"[""Loamy"",""Sandy""]","[""France"",""United States"",""Canada""]","[""Spring"",""Fall""]",30,35,15,24,"[""NPK 10-10-10"",""Compost""]",2,12,6,0.5,"radis french breakfast 2
le sachet de +/- 470 graines"
427,Vegetable,Radis Chandelle de Feu,15-25,2-5,10-20,0.2-0.4,4-6,18000-22000,60-80,"[""Loam"",""Sandy Loam""]","[""Mediterranean"",""Temperate""]","[""Spring"",""Fall""]",20,30,20,48,"[""Nitrogen"",""Phosphorus"",""Potassium""]",3-4,8,4,0.5,"radis chandelle de feu
le sachet de +/- 280 graines"
428,Vegetable,Radis Daikon 'Minowase Summer Cross',15-25,2-5,15-20,0.25-0.35,3-5,2400-2800,40-60,"[""Loamy"",""Sandy""]","[""Temperate regions"",""Mild climates""]","[""Start in summer"",""Year-round in mild climates""]",20-30,35-40,100-150,Every 2-3 days,"[""Nitrogen-based fertilizers"",""Phosphorous-based fertilizers""]",4-6,16-24,12-18,0.5-1,"radis daikon ""minowase summer cross""
le sachet de +/- 130 graines"
429,Vegetable,Radis en mélange,18,5,15,0.4,3,12000,55,"[""Loamy"",""Sandy""]","[""North America"",""Europe""]","[""Spring"",""Autumn""]",30,30,20,24,"[""Nitrogen"",""Phosphorus"",""Potassium""]",2,12,4,0.5,"radis en mélange
le sachet de +/- 370 graines"
430,Vegetable,Radis National 3,20,5,15,0.3,3,6000,60,"[""Loamy"",""Sandy""]","[""Temperate regions"",""Mild climates""]","[""Spring"",""Autumn""]",40,30,10,24,"[""Nitrogen-based fertilizer"",""Phosphorus-based fertilizer""]",2,8,12,0.5,"radis national 3
le sachet de +/- 470 graines"
431,Vegetable,Radis jaune helios,18,3,15,0.35,4,3600,60,"[""Loamy"",""Sandy""]","[""France"",""Germany"",""Netherlands""]","[""Spring"",""Autumn""]",30,35,10,48,"[""Nitrogen-based"",""Phosphorus-based"",""Potassium-based""]",2,12,6,1,"radis jaune helios
le sachet de +/- 280 graines"
432,Vegetable,Chou Cabus Rouge de Langedijk,18.5,4.2,15.8,0.23,3.6,24000,70,"[""Loamy soil"",""Well-drained soil""]","[""Cool temperate regions"",""Mild temperate regions""]","[""Spring"",""Autumn""]",40,30,30,48,"[""Nitrogen-rich fertilizer"",""Potassium-rich fertilizer""]",4,18,12,0.5,"chou cabus rouge de langedijk
le sachet de +/- 260 graines"
433,Vegetable,Chou cabus rouge rodynda,15,5,10,0.3,4,3600,60,"[""Loam"",""Clay"",""Silt""]","[""Mild Temperate Regions"",""Northern Europe""]","[""Spring"",""Autumn""]",40,30,20,24,"[""Nitrogen"",""Phosphorus"",""Potassium""]",2,24,18,0.5,"chou cabus rouge rodynda
le sachet de +/- 70 graines"
434,Vegetable,Chou Cabus Rouge Amarant,15,5,12,0.3,3,18000,70,"[""Loam"",""Sandy Loam"",""Clay Loam""]","[""Mediterranean region"",""Temperate regions""]","[""Spring"",""Fall""]",30,35,20,48,"[""Nitrogen-based"",""Phosphorus-based"",""Potassium-based""]",4,24,12,0.5,"chou cabus rouge amarant
le sachet de +/- 80 graines"
435,Tomato,Tomate potager de Vilvorde,20,5,18,0.25,4,3600,70,"[""Loam"",""Sandy loam"",""Clay loam""]","[""Europe"",""North America"",""Asia""]","[""Late Spring"",""Summer"",""Early Autumn""]",30,35,20,48,"[""NPK 10-10-10"",""Organic compost""]",4,60,24,0.5,"tomate potager de vilvorde
le sachet de 25 graines"
436,Tomato,Tomate de Bérao,25,5,18,0.3,3,3600,60,"[""Loam"",""Sandy loam"",""Clay loam""]","[""France"",""Portugal"",""Spain""]","[""Start summer"",""End summer""]",30,40,20,12,"[""NPK fertilizer"",""Organic compost""]",4,60,24,1,"tomate de bérao
le sachet de 25 graines"
437,Vegetable,Tomate Cornue des Andes,18,2,15,0.4,3,3600,60,"[""Loam"",""Sandy loam"",""Clay loam""]","[""Mediterranean"",""Temperate""]","[""Start Summer"",""Summer"",""Autumn""]",30,35,20,24,"[""Nitrogen-based fertilizer"",""Potassium-based fertilizer""]",2,60,24,0.5,"tomate cornue des andes
le sachet de 25 graines"
438,Vegetable,Tomate géante d'orembourg,20,5,18,0.3,4,3600,60,"[""Loam"",""Clay"",""Sandy""]","[""Mediterranean"",""Temperate"",""Subtropical""]","[""Start of summer""]",30,35,20,48,"[""NPK"",""Compost""]",4,60,24,0.5,"tomate géante d'orembourg
le sachet de 25 graines"
439,Tomato,Tomate Merveille des Marchés,22,5,18,0.2,3,6000,60,"[""Loam"",""Silt"",""Clay""]","[""Mediterranean region"",""Southwestern United States"",""Central America""]","[""Spring"",""Summer""]",40,35,50,24,"[""Nitrogen"",""Phosphorus"",""Potassium""]",2,60,12,1,"tomate merveille des marchés
le sachet de 25 graines"
440,Vegetable,Tomate Monda,25,5,20,0.3,3,3600,60,"[""Sandy loam"",""Loamy soil"",""Clay soil""]","[""Mediterranean region"",""Subtropical regions"",""Temperate regions""]","[""Start summer"",""Spring"",""Autumn""]",30,40,20,48,"[""NPK fertilizers"",""Organic compost""]",2,60,12,0.5,"tomate monda
le sachet de 25 graines"
441,Tomato,Tomate Moneymaker,15-30,2-4,15-25,0.2-0.3,4-6,24000-28000,50-70,"[""Sandy loam"",""Silt loam"",""Clay loam""]","[""Mediterranean climate regions"",""Temperate climate regions""]","[""Start summer"",""Late spring"",""Early autumn""]",30-40,35,20,48-72,"[""NPK fertilizers"",""Organic compost""]",4-6,60-72,24,0.5-1,"tomate moneymaker
le sachet de 25 graines"
442,Tomato,Roma,22,5,18,0.3,4,6000,60,"[""Loam"",""Sandy loam"",""Clay loam""]","[""Mediterranean region"",""Southern Europe"",""North Africa""]","[""Start summer"",""Late spring"",""Early autumn""]",30,35,20,48,"[""NPK 10-10-10"",""Compost"",""Bone meal""]",4,60,24,0.5,"tomate roma
le sachet de 25 graines"
443,Tomato,Tomate Saint Pierre,20,5,18,0.3,3,3000,60,"[""Loam"",""Sandy loam"",""Clay loam""]","[""Mediterranean"",""Subtropical"",""Temperate""]","[""Start summer"",""Spring"",""Autumn""]",30,40,20,48,"[""NPK 10-10-10"",""Compost"",""Bone meal""]",4,60,24,0.5,"tomate saint pierre
le sachet de 25 graines"
444,Vegetable,Tomate Burbank,20,5,18,0.3,3,6000,60,"[""Loam"",""Sandy loam"",""Clay loam""]","[""Mediterranean climate regions"",""Temperate climate regions""]","[""Start summer"",""Autumn""]",40,35,20,48,"[""Nitrogen-based fertilizer"",""Phosphorus-based fertilizer"",""Potassium-based fertilizer""]",2,60,24,0.5,"tomate burbank
le sachet de 25 graines"
445,Tomato,Tomate Marmande,20,5,18,0.4,4,3600,65,"[""Loam"",""Sandy Loam"",""Clay Loam""]","[""Mediterranean"",""Temperate"",""Subtropical""]","[""Start summer"",""Spring"",""Autumn""]",40,35,20,48,"[""Nitrogen"",""Phosphorous"",""Potassium""]",4,72,36,0.25,"tomate marmande
le sachet de 25 graines"
446,Tomato,Sasha Altaï,25,5,20,0.3,3,6000,60,"[""Loam"",""Sandy loam"",""Clay loam""]","[""Sunny areas with well-drained soil""]","[""Late spring to early summer""]",30,35,20,48,"[""Nitrogen-based fertilizer"",""Potassium-based fertilizer""]",4,60,24,0.5,"tomate sasha altaï
le sachet de 25 graines"
447,Tomato,Prince Borghese,22,3,18,0.25,4,3000,60,"[""Loam"",""Sandy loam""]","[""Mediterranean region"",""Coastal areas""]","[""Start of summer"",""Late spring""]",40,35,20,48,"[""Nitrogen-based"",""Potassium-based""]",4,60,24,0.5,"tomate prince borghese
le sachet de 25 graines"
448,Tomato,Tomate Joyau d'Idaho,20,5,15,0.3,4,3600,60,"[""Loam"",""Sandy loam"",""Clay loam""]","[""Idaho"",""California"",""Oregon""]","[""Late spring"",""Summer"",""Early fall""]",30,35,20,24,"[""NPK 10-10-10"",""Compost"",""Fish emulsion""]",2,60,24,0.5,"tomate joyau d'idaho
le sachet de 25 graines"
449,Tomato,Tomate Rouge Gloire de Versailles,20,5,18,0.3,3,3600,60,"[""Loam"",""Sandy loam"",""Clay loam""]","[""Mediterranean region"",""Southern Europe"",""North Africa""]","[""Start summer"",""Spring"",""Autumn""]",40,35,20,48,"[""Nitrogen-rich fertilizer"",""Phosphorus-rich fertilizer""]",4,72,12,0.5,"tomate rouge gloire de versailles
le sachet de 25 graines"
450,Tomato,Tomate Belle de Lorraine,15-25,5-10,15-20,0.2-0.4,2-4,6-8,60-80,"[""Loamy"",""Sandy"",""Clayey""]","[""Mediterranean"",""Subtropical"",""Temperate""]","[""Spring"",""Summer""]",40,35,30,48,"[""Nitrogen"",""Phosphorus"",""Potassium""]",2-3,60,24,0.5,"tomate belle de lorraine
le sachet de 25 graines"
451,Tomato,Voyage,25,5,20,0.3,4,6000,70,"[""Sandy loam"",""Loam"",""Clay loam""]","[""Warm temperate regions"",""Mediterranean climates""]","[""Start summer"",""Spring"",""Fall""]",40,35,30,24,"[""Nitrogen-based fertilizers"",""Phosphorus-based fertilizers"",""Potassium-based fertilizers""]",2,60,24,2,"tomate voyage
le sachet de 25 graines"
452,Vegetable,Tomate Téton de Vénus,15-25,5-10,15-20,0.3-0.6,3-5,6-8,50-70,"[""Loam"",""Sandy Loam"",""Silt Loam""]","[""Mediterranean"",""Temperate""]","[""Spring"",""Summer""]",20-30,35-40,50-100,48-72,"[""Nitrogen"",""Phosphorus"",""Potassium""]",2-4,60-80,24-36,0.5-1,"tomate téton de vénus
le sachet de 25 graines"
453,Tomato,Tomate Suzy,25,5,20,0.3,4,6000,60,"[""Sandy loam"",""Loam"",""Clay loam""]","[""Mediterranean"",""Subtropical"",""Temperate""]","[""Spring"",""Summer"",""Autumn""]",40,35,20,48,"[""NPK fertilizer"",""Organic compost""]",2,60,24,0.5,"tomate suzy
le sachet de 25 graines"
454,Tomato,Matina,20,5,18,0.3,3,6000,60,"[""Loam"",""Sandy loam"",""Clay loam""]","[""Mediterranean"",""Temperate"",""Subtropical""]","[""Spring"",""Summer""]",40,35,20,24,"[""NPK fertilizer"",""Compost""]",2,60,24,1,"tomate matina
le sachet de 25 graines"
455,Vegetable,Tomate Triomphe de Liège,20,5,15,0.3,4,300,70,"[""Well-drained loam"",""Sandy loam""]","[""Mediterranean"",""Temperate""]","[""Spring"",""Summer""]",40,35,50,24,"[""Organic compost"",""Liquid seaweed fertilizer""]",2,60,24,0.5,"tomate triomphe de liège
le sachet de 25 graines"
456,Tomato,Tomate Merveille des Serres,25,10,20,0.4,5,3600,60,"[""Loam"",""Sandy loam"",""Clay loam""]","[""Greenhouse"",""Indoor""]","[""Spring"",""Summer"",""Autumn""]",30,35,50,48,"[""NPK 10-10-10"",""Organic compost""]",2,60,12,0.5,"tomate merveille des serres
le sachet de 25 graines"
457,Tomato,Tomate Belgian Farmers,20,5,18,0.4,3,6000,60,"[""Loam"",""Sandy loam"",""Clay loam""]","[""Belgium"",""France"",""Netherlands""]","[""Spring"",""Summer"",""Autumn""]",30,35,30,48,"[""Nitrogen"",""Phosphorus"",""Potassium""]",2,60,24,1,"tomate belgian farmers
le sachet de 25 graines"
458,Vegetable,Tomate Stupice,20,5,15,0.3,3,3600,60,"[""Loam"",""Sandy loam"",""Clay loam""]","[""Mediterranean"",""Temperate"",""Subtropical""]","[""Summer"",""Autumn""]",30,40,20,48,"[""NPK 10-10-10"",""Compost""]",2,60,24,0.5,"tomate stupice
le sachet de 25 graines"
459,Vegetable,Tomate Rouge de Namur,20,2,18,0.3,5,6000,70,"[""Loamy"",""Sandy loam""]","[""North America"",""Europe""]","[""Spring"",""Summer""]",30,35,10,48,"[""NPK 10-10-10"",""Compost""]",4,60,24,0.5,"tomate rouge de namur
le sachet de 25 graines"
460,Vegetable,Tomate Charnue de Huy,18,5,15,0.3,3,18000,70,"[""Loam"",""Sandy Loam"",""Clay Loam""]","[""France"",""Belgium"",""Netherlands""]","[""Start summer"",""Late summer"",""Early autumn""]",40,35,30,48,"[""NPK 10-10-10"",""Organic compost""]",4,60,24,0.5,"tomate charnue de huy
le sachet de 25 graines"
461,Tomato,Tomate Prolifique de Falisolle,20 °C,5 mm,15 °C,0.3 m³/m³,4 mm/day,8 hours,60%,"[""Loamy soil"",""Sandy soil"",""Clay soil""]","[""Mediterranean region"",""Temperate regions""]","[""Start summer"",""Spring"",""Autumn""]",40 km/h,35 °C,50 mm,24 hours,"[""Nitrogen-based fertilizer"",""Phosphorus-based fertilizer"",""Potassium-based fertilizer""]",2 weeks,60 inches,24 inches,1 inch,"tomate prolifique de falisolle
le sachet de 25 graines"
462,Tomato,Tomate Rouge Glacier,15-25,5-10,15-20,0.2-0.4,4-6,18000-22000,50-70,"[""Sandy loam"",""Clay loam"",""Loamy soil""]","[""Mediterranean region"",""Subtropical regions""]","[""Start summer"",""Spring"",""Autumn""]",30,35,20,48,"[""Organic compost"",""NPK fertilizer""]",4-6,60,24,0.5,"tomate rouge glacier
le sachet de 25 graines"
463,Tomato,Tomate reine des hâtives,20,5,18,0.3,3,3600,60,"[""Sandy loam"",""Loam"",""Clay loam""]","[""Mediterranean region"",""Subtropical regions""]","[""Spring"",""Summer""]",30,35,15,24,"[""10-10-10"",""15-15-15""]",4,48,12,1,"tomate reine des hâtives
le sachet de 25 graines"
464,Fruit,Tomate Saint Jean d'Angely,20,5,15,0.3,4,600,70,"[""Loam"",""Sandy loam"",""Clay loam""]","[""France"",""Spain"",""Italy""]","[""Start summer"",""Late summer"",""Early autumn""]",30,35,20,48,"[""Nitrogen-based"",""Phosphorus-based"",""Potassium-based""]",4,60,24,0.5,"tomate saint jean d'angely
le sachet de 25 graines"
465,Tomato,Tomate Rouge Corma (Lignée 1 de Gembloux),15-30,5-10,15-25,0.3-0.6,4-6,18000-22000,40-70,"[""Loam"",""Silt"",""Clay""]","[""Mediterranean"",""Subtropical"",""Temperate""]","[""Spring"",""Summer""]",20,35,20,48,"[""NPK"",""Compost"",""Manure""]",4-6,60-80,24-36,0.5-1,"tomate rouge corma (lignée 1 de gembloux)
le sachet de 25 graines"
466,Tomato,Tomate Rouge Gloire de Malines,22,3,18,0.4,5,600,70,"[""Loamy"",""Sandy"",""Clay""]","[""France"",""Belgium"",""Netherlands""]","[""Start in late spring"",""Summer"",""Early Autumn""]",40,35,20,24,"[""NPK 10-10-10"",""Compost""]",4,60,24,0.5,"tomate rouge gloire de malines
le sachet de 25 graines"
467,Vegetable,Tomate Rouge Joffre,25,5,18,0.3,3,6000,60,"[""Clay"",""Loam"",""Sandy""]","[""Mediterranean"",""Subtropical"",""Tropical""]","[""Late Spring"",""Summer"",""Early Fall""]",40,35,30,48,"[""NPK"",""Compost""]",4,60,24,0.5,"tomate rouge joffre
le sachet de 25 graines"
468,Tomato,Tomate Chemin Rouge,25,5,20,0.4,3,3600,60,"[""Loam"",""Sandy Loam"",""Clay""]","[""Mediterranean region"",""Southern Europe"",""North Africa""]","[""Start of summer"",""Late spring"",""Early autumn""]",30,40,20,24,"[""Organic compost"",""Nitrogen-rich fertilizer""]",2,60,24,1,"tomate chemin rouge
le sachet de 25 graines"
469,Tomato,Tomate Rouge Anna Russian,20,5,18,0.3,3,18000,60,"[""Loam"",""Silt"",""Clay""]","[""Mediterranean"",""Subtropical"",""Temperate""]","[""Start Summer"",""Spring"",""Autumn""]",30,35,50,24,"[""NPK"",""Organic compost""]",2,72,24,0.5,"tomate rouge anna russian
le sachet de 25 graines"
470,Vegetable,Rhubarbe Rouge,18,5,12,0.3,4,28800,60,"[""Loam"",""Sandy loam"",""Clay loam""]","[""Cool temperate regions"",""Northern hemisphere""]","[""Spring"",""Summer""]",30,30,20,48,"[""Compost"",""Manure""]",4,40,24,1,rhubarbe rouge
471,Vegetable,Céleri à côtes blanc pascal,10-20,2-4,10-20,0.2-0.3,4-6,6-8,50-70,"[""Sandy loam"",""Loam"",""Clay loam""]","[""Mediterranean region"",""Europe"",""North America""]","[""Spring"",""Summer"",""Fall""]",30,35,20,48,"[""NPK 10-10-10"",""Organic compost""]",2-4,24,12,0.25,"céleri à côtes blanc pascal
le sachet de +/- 380 graines"
472,Vegetable,Céleri à côtes vert d'elne,15-20,2-5,12-18,0.2-0.4,2-4,4000-5000,50-70,"[""Loam"",""Sandy loam"",""Clay loam""]","[""Mediterranean region"",""Southern France"",""Spain""]","[""Spring"",""Summer""]",25,35,10,48,"[""Nitrogen-based fertilizer"",""Potassium-based fertilizer""]",4-6,12-18,12-18,0.2-0.4,"céleri à côtes vert d'elne
le sachet de +/- 380 graines"
473,Vegetable,Céleri à côtes violettes,20,5,15,0.3,3,3600,60,"[""Loam"",""Sandy loam"",""Clay""]","[""France"",""Belgium"",""Canada""]","[""Spring"",""Summer""]",40,30,20,48,"[""Organic compost"",""Liquid seaweed fertilizer""]",4,24,12,0.5,"céleri à côtes violettes
le sachet de +/- 380 graines"
474,Vegetable,Céleri géant doré,20,5,18,0.3,3,24000,60,"[""Loam"",""Sandy loam"",""Clay loam""]","[""France"",""Belgium"",""Canada""]","[""Spring"",""Summer"",""Autumn""]",30,35,20,48,"[""Nitrogen"",""Phosphorus"",""Potassium""]",4,24,12,0.5,"céleri géant doré
le sachet de +/- 200 graines"
475,Vegetable,Céleri à côtes tall utah,20,5,15,0.3,3,6000,60,"[""Loam"",""Silt"",""Clay""]","[""France"",""United States"",""Canada""]","[""Spring"",""Summer"",""Fall""]",30,35,20,24,"[""Nitrogen"",""Phosphorus"",""Potassium""]",4,24,12,0.5,"céleri à côtes tall utah
le sachet de +/- 380 graines"
476,Vegetable,Laitue pommée d'hiver de Trémont,15,5,10,0.3,3,18000,60,"[""Loam"",""Silt"",""Clay""]","[""France"",""Belgium"",""Canada""]","[""Start of summer"",""Spring"",""Autumn""]",30,35,20,48,"[""NPK 10-10-10"",""Organic compost""]",4,12,10,0.5,"laitue pommée d'hiver de trémont
le sachet de +/- 700 graines"
477,Leafy Vegetable,Laitue à Couper Verte d'Hiver,10,5,12,0.2,3,24000,60,"[""Loam"",""Silt"",""Clay""]","[""France"",""Belgium"",""Canada""]","[""Spring"",""Fall""]",40,30,20,48,"[""NPK 10-10-10"",""Compost""]",4,16,12,0.2,"laitue à couper verte d'hiver
le sachet de +/- 500 graines"
478,Vegetable,Salsifis Blanc Amélioré,18,2,15,0.4,4,3600,60,"[""Loamy soil"",""Sandy soil""]","[""France"",""Belgium"",""Netherlands""]","[""Spring"",""Fall""]",30,35,10,48,"[""Nitrogen-based fertilizer"",""Potassium-based fertilizer""]",4,24,12,1,salsifis blanc amélioré
479,Vegetable,Chou de Milan de Pontoise,10-20,5-10,10-15,0.2-0.4,2-4,4-6,60-80,"[""Loam"",""Sandy Loam"",""Clay Loam""]","[""Mediterranean"",""Temperate""]","[""Spring"",""Fall""]",30-50,25-30,20-30,48-72,"[""NPK 10-10-10"",""Compost""]",4-6,12-18,12x12,0.5-1,"chou de milan de pontoise
le sachet de +/- 250 graines"
480,Vegetable,Chou de Milan Plainpalais,18,5,15,0.3,4,28800,60,"[""Loam"",""Clay"",""Silt""]","[""France"",""Switzerland"",""Italy""]","[""Spring"",""Autumn""]",30,30,20,48,"[""NPK 10-10-10"",""Compost"",""Fish emulsion""]",4,20,12,0.5,"chou de milan plainpalais
le sachet de +/- 250 graines"
481,Vegetable,Chou de Milan Bloemendaalse Gele,15,3,10,0.3,4,3600,60,"[""Loam"",""Sandy Loam"",""Clay Loam""]","[""Mediterranean"",""Temperate""]","[""Spring"",""Fall""]",40,30,20,48,"[""Nitrogen"",""Phosphorus"",""Potassium""]",4,20,12,0.5,"chou de milan ""bloemendaalse gele""
le sachet de +/- 250 graines"
482,Vegetable,Chou de Milan de Lorient,15,5,18,0.3,4,3600,60,"[""Loam"",""Sandy loam"",""Clay loam""]","[""Europe"",""North America"",""Asia""]","[""Spring"",""Fall""]",30,30,20,48,"[""NPK 10-10-10"",""Compost""]",4,24,12,0.5,"chou de milan de lorient
le sachet de ± 90 graines"
483,Vegetable,Scorsonère Noir Géant de Russie,15,5,18,0.25,3,6000,70,"[""Loam"",""Sandy Loam"",""Clay""]","[""Europe"",""North America""]","[""Early Spring"",""Late Summer""]",30,35,20,48,"[""Organic Compost"",""Fish Emulsion""]",4,36,12,1,scorsonère noir géant de russie
484,Legume,Haricot à Rames Mangetout à Cosses Violettes - Blauhilde,20,5,18,0.3,4,6000,65,"[""Loamy"",""Sandy""]","[""France"",""Germany"",""United Kingdom""]","[""Spring"",""Summer""]",40,35,15,48,"[""Nitrogen"",""Phosphorus"",""Potassium""]",3,60,24,2,"haricot à rames mangetout à cosses violettes - blauhilde
le sachet de +/- 120 graines"
485,Legume,Haricot à rames hâtif neckarkönigin,18.5,5.2,15.4,0.25,3.8,25000,60,"[""Loam"",""Sandy loam"",""Clay loam""]","[""France"",""Germany"",""United Kingdom""]","[""Early summer"",""Late summer"",""Early fall""]",30,35,20,48,"[""Organic compost"",""All-purpose fertilizer""]",2,96,48,1,"haricot à rames hâtif neckarkönigin
le sachet de +/- 120 graines"
486,Climbing Bean,Haricot Mangetout à Rames Neckargold,20,5,18,0.3,3,3600,60,"[""Loam"",""Sandy Loam"",""Clay Loam""]","[""Southwest France"",""Central Italy"",""Southern Spain""]","[""Late Spring"",""Summer""]",30,35,20,48,"[""Organic Fertilizer"",""Nitrogen Fertilizer""]",2,60,16,2,"haricot mangetout à rames neckargold
le sachet de +/- 140 graines"
487,Legume,Haricot à Rames Mangetout de Malines,15-25,10-20,15-20,0.2-0.4,2-5,3000-3500,40-70,"[""Loamy"",""Sandy""]","[""France"",""Belgium"",""Netherlands""]","[""Spring"",""Summer""]",20-30,30-35,50-100,24-48,"[""NPK"",""Compost""]",2-4,60-72,36-48,1-2,"haricot à rames mangetout de malines
le sachet de +/- 120 graines"
488,Legume,Haricot à rames mangetout princesse du pévèle,15,5,18,0.3,2,3600,60,"[""Loam"",""Sandy loam""]","[""France"",""Belgium"",""Netherlands""]","[""Spring"",""Summer""]",40,35,20,24,"[""Nitrogen"",""Phosphorus"",""Potassium""]",4,72,36,1,"haricot à rames mangetout princesse du pévèle
le sachet de +/- 120 graines"
489,Climbing bean,Haricot à rames mangetout beurre Sunshine,15-25,2-5,15-20,0.2-0.3,4-6,6-8,60-80,"[""Well-drained soil"",""Loamy soil"",""Sandy soil""]","[""Mediterranean region"",""Southern Europe"",""North Africa""]","[""Spring"",""Summer""]",20,35,20,48,"[""Compost"",""Organic nitrogen fertilizer""]",2-3,60,24,1,"haricot à rames mangetout beurre ""sunshine""
le sachet de +/- 120 graines"
490,Legume,Haricot à rames mangetout (à couper) beurre 'golden gate',20,5,18,0.25,3,6000,60,"[""Loam"",""Sandy Loam"",""Clay Loam""]","[""France"",""United States"",""United Kingdom""]","[""Late Spring"",""Summer"",""Early Fall""]",30,35,20,24,"[""Nitrogen"",""Phosphorus"",""Potassium""]",4,60,24,1,"haricot à rames mangetout (à couper) beurre ""golden gate""
le sachet de +/- 120 graines"
491,Legume,Haricot à rames mangetout vigneronne,15-25,2-5,10-20,0.2-0.3,3-5,6-8,40-60,"[""Loamy"",""Sandy"",""Clayey""]","[""France"",""Italy"",""Spain""]","[""Spring"",""Summer""]",30,35,20,48,"[""Nitrogen"",""Phosphorus"",""Potassium""]",4-6,60,36,2,"haricot à rames mangetout vigneronne
le sachet de +/- 150 graines"
492,Legume,Haricot à rames mangetout fortex,20,5,18,0.3,4,3600,60,"[""Loam"",""Sandy loam"",""Clay loam""]","[""Mediterranean"",""Temperate"",""Subtropical""]","[""Spring"",""Summer""]",40,35,20,24,"[""Nitrogen"",""Phosphorus"",""Potassium""]",2,96,12,2,"haricot à rames mangetout fortex
le sachet de +/- 120 graines"
493,Vegetable,Haricot à rames mangetout trebona,20,5,18,0.3,3,600,60,"[""Loam"",""Sandy loam"",""Clay loam""]","[""France"",""Spain"",""Italy""]","[""Start summer"",""Late summer"",""Early autumn""]",30,35,20,24,"[""Nitrogen-rich fertilizer"",""Potassium-rich fertilizer""]",4,80,24,2,"haricot à rames mangetout trebona
le sachet de +/- 120 graines"
494,Haricot à rames mangetout,Helda type Sabre,20 °C,2 mm,18 °C,0.3 m³/m³,3 mm/day,600 seconds,60%,"[""Sandy loam"",""Silt loam"",""Clay loam""]","[""ABC region"",""BCA region"",""XYZ region""]","[""Start of summer"",""ABC season"",""XYZ season""]",20 km/h,35 °C,50 mm,48 hours,"[""ABX fertilizer"",""AFN fertilizer""]",4 weeks,60 in,36 in,2 in,"haricot à rames mangetout helda type sabre
le sachet de +/- 100 graines"
495,Vegetable,Pois à rames mangetout à cosses jaunes Saint Désirat,10-25,2-5,10-20,0.2-0.4,4-7,3000-4000,50-70,"[""Well-drained loamy soil"",""Sandy soil""]","[""France"",""Europe""]","[""Spring"",""Fall""]",30,30,10,48,"[""Nitrogen-based fertilizer"",""Phosphorus-based fertilizer""]",4-6,60,24,2,"pois à rames mangetout à cosses jaunes saint désirat
le sachet de +/- 300 graines"
496,Vegetable,Pois à rames Mangetout Heraut,20,5,18,0.3,4,3600,60,"[""Loam"",""Sandy loam"",""Silt loam""]","[""Temperate regions"",""Mediterranean regions""]","[""Spring"",""Autumn""]",30,35,20,48,"[""Nitrogen"",""Phosphorus"",""Potassium""]",2,80,24,2,"pois à rames mangetout heraut
le sachet de +/- 300 graines"
