,Average Temperature (2 m),Average Precipitation per day,Average Soil Temperature (0 to 6 cm),Average Sunshine Duration,Humidity(%),Rainfall Alert Maximum Rain (mm)
653,20,5,18,6000,70,20
654,25.5,10,20,300,70,50
655,20,5,18,3600,70,50
656,25,5,20,6000,60,20
657,25,5,20,6000,70,50
658,25,5,20,600,60,20
659,20,5,18,600,60,50
660,25,5,20,3600,70,20
661,15 - 25,5 - 10,10 - 20,18000 - 22000,40 - 60,20 - 30
662,25,5,20,6000,60,50
663,25,10,20,3600,50,50
664,15-25,5-10,10-20,3000-3500,40-60,50
665,25,5,20,3600,60,20
666,20,5,18,6000,60,30
667,20,5,18,3600,60,50
668,15,3,12,3600,60,10
669,18,5,15,24000,60,20
670,18,3,15,24000,60,10
671,18,5,20,3600,60,20
672,27.5,5,25,28800,70,50
673,15,5,20,12000,60,50
674,18,5,15,600,60,20
675,20,5,18,6000,60,20
676,23,5,18,3000,60,20
677,18,2,15,30000,50,20
678,25,10,20,600,70,20
679, , , , , , 
680,20,5,15,30000,60,20
681,15,5,10,3600,70,30
682,20,5,18,3600,60,20
683,15-25,2-4,10-20,18000-22000,40-60,10
684,20,5,15,3600,60,20
685,25,5,20,3600,70,10
686,25,5,20,6000,70,10
687,18,5,15,24000,60,20
688,20,5,15,6000,60,20
689,20,2,18,6000,50,30
690,20,5,15,18000,60,10
691,18,4,15,3600,50,20
692,20,5,15,3600,60,50
693,22,5,18,3600,50,20
694,20,5,18,12000,70,20
695,15-25,2-4,10-20,24000-28000,40-60,10
696,15.5,5.2,14.2,18000,60,20
697,25,5,22,30000,60,100
698,25.6,4.2,22.3,28800,65,50
699,25,10,20,3600,60,50
700,20,3,15,5000,60,10
701,25,5,20,6000,60,20
702,18,3,15,30000,60,20
703,15,5,18,6000,70,20
704,20,5,15,18000,50,10
705,15-30,2-5,15-25,24000-28000,40-70,20
706,20,2,15,3600,60,10
707,25-35,5-10,20-30,2000-2500,40-60,100
708,18,5,15,24000,60,20
709,10.5°C,5.2 mm,12.8°C,18000 seconds,65%,20 mm
710,21,5,18,24000,50,50
711,25,5,20,3600,60,20
712,20°C,5 mm,15°C,600 seconds,60%,10 mm
713,25,10,20,3600,60,50
714,20,5,18,24000,65,20
715,10,5,8,10000,70,20
716,20,5,18,3600,60,20
717,20,5,15,3600,60,20
718, , , , , , 
719,22,5,18,30000,70,30
720,22,5,18,3600,60,20
721,10-25,3-5,10-20,24000-28000,40-60,20
722,18,5,15,3600,60,10
723,20,5,15,24000,60,30
724,20,5,18,12000,70,20
725,25,5,20,600,50,50
726,20,5,18,3600,60,20
727,15,5,12,3600,70,50
728,25,5,20,600,60,20
729,25,5,20,6000,60,20
730,25,5,20,3600,60,20
731,25,10,20,6000,70,20
732,22,5,20,3000,60,20
733,23,5,18,3600,65,20
734,25,5,20,6000,60,20
735,18 °C,5 mm,15 °C,3600 seconds,70%,20 mm
736,25,10,20,3600,60,20
737,25,5,20,3600,60,20
738,25,5,20,6000,60,50
739,20,5,18,8000,50,20
740,20,5,15,3000,60,20
741,20,5,15,3000,70,20
742,25,5,20,12000,60,50
743,20,5,15,3600,70,15
744,25,5,20,6000,60,20
745,20,5,15,3600,60,20
746,25,5,20,6000,70,15
747,18,5,15,3600,60,10
748,25,10,20,6000,60,50
749,25,5,20,3000,60,20
750,20,5,18,6000,60,30
751,25,10,20,6000,60,30
752,20°C,5 mm,18°C,600 seconds,50%,15 mm
753,25,5,20,6000,60,50
754,25,5,20,3600,70,20
755,18,5,16,3600,60,20
756,25,5,20,3600,60,50
757,20-25,5-10,15-20,2400-2800,50-70,20
758,20 °C,10 mm,18 °C,300 seconds,60%,50 mm
759,20,5,15,6000,60,20
760,20,5,18,3600,60,50
761,18,5,15,18000,60,20
762,18,5,15,3600,70,30
763,20°C,5 mm,25°C,3600 seconds,60%,20 mm
764,25,5,20,3600,70,50
765,25,5,20,6000,60,20
766,25,5,20,3600,60,20
767,25,5,20,6000,60,20
768,20-24,10-20,18-22,24000-28000,40-60,50-70
769,20,5,18,6000,60,10
770,23.5,10.2,18.7,4200,55,30
771,25,10,20,3600,60,20
772,20,5,18,18000,60,10
773,25,10,20,300,60,30
774,20,5,18,18000,70,20
775,20,5,15,18000,60,20
776,25,5,20,600,70,10
777,20,5,15,600,60,50
778,25,5,20,600,70,20
779,20 - 25,2 - 4,15 - 20,3600 - 4200,60 - 80,20
780,25,5,20,3600,70,30
781,25,10,20,6000,70,50
782,20,10,18,6000,70,20
783,20,5,18,3600,60,20
784,25,5,20,20000,60,20
785,25,10,20,18000,60,50
786,25,10,20,6000,60,50
787,25,10,20,3600,60,50
788,25,5,20,600,70,50
789,25 °C,10 mm,20 °C,600 seconds,70%,50 mm
790,18,5,15,28000,70,20
791,20,5,18,6000,60,20
792,25,5,20,6000,50,20
793,18,5,15,6000,70,10
794,25,5,20,6000,70,20
795,25,5,20,6000,60,20
796,20,5,18,3600,70,50
797,20,5,15,3600,80,20
798,25,10,20,6000,60,50
799,25,10,20,6000,70,50
800,25,5,20,6000,70,20
801,22,10,18,3000,60,50
802,25,5,20,6000,60,10
803,25,10,20,6000,60,50
804,25.5,10.2,23.8,300,60,40
805,20,5,18,600,60,20
806,25,5,20,6000,60,20
807,25,5,20,3000,60,50
808,25,5,20,6000,70,50
809,25,10,20,6000,60,50
810,25,5,20,6000,60,20
811,20,5,18,600,60,20
812,20,5,18,12000,60,20
813,25,10,20,300,60,20
814,20,5,18,6000,60,20
815,25,5,20,6000,60,20
816,25,5,20,6000,60,20
817,21,2.5,18,28800,60,10
818,20,5,18,3600,60,20
819,20,5,18,24000,60,15
820,18,5,15,18000,60,50
821,22,2,20,6000,50,10
822,25,5,20,6000,60,50
823,25,10,20,3600,60,50
824,25°C,5 mm,20°C,600 seconds,60%,50 mm
825,25,5,20,60000,60,20
826,20,5,18,6000,70,50
827,23,10,20,3600,50,50
828,18,5,15,3600,80,20
829,15,5,10,18000,60,20
830,22,5,18,3600,60,20
831,25,10,20,3600,60,50
832,24,5,22,3600,70,20
833,20,5,18,600,60,10
834,24,5,18,3000,60,20
835,25,10,20,30000,70,50
836,15-20,5-10,12-15,18000-20000,70-80,50
837,22,5,18,6000,70,50
838,18-24,,20-25,,40-60,
839,18.5,5.2,15.3,24000,75,20
840,25.6,5.2,18.3,28800,60,50
841,25,5,20,3000,60,30
842,25,5,20,6000,60,20
843,25,5,18,6000,60,20
844,25,5,20,3600,60,20
845,24.5,3.2,19.8,24000,60,50
846,25.5 °C,10.2 mm,22.3 °C,3000 seconds,55%,50 mm
847,20,5,15,3600,70,30
848,25,5,20,600,60,20
849,20,5,18,6000,70,20
850,22,5,18,6000,60,20
851,20,5,15,600,70,20
852,25,10,20,3000,60,50
853,25,10,22,6000,60,50
854,24,5,22,600,75,20
855,25,5,20,3600,70,20
856,20 °C,5 mm,15 °C,3600 seconds,60%,50 mm
857,20,5,15,3600,70,50
858,25.5,5.7,21.3,4500,60,50
859,25 °C,5 mm,20 °C,300 seconds,60%,50 mm
860,20,5,15,18000,60,20
861,25,5,20,3600,70,20
862,25,5,20,6000,60,20
863,25,5,20,600,60,20
864,25,10,20,6000,60,50
865,25,5,20,3600,65,30
866,25,10,20,5000,70,50
867,20,5,15,600,60,50
868,25,5,20,6000,70,20
869,22,5,18,6000,60,20
870,20,5,18,18000,60,20
871,25,5,20,3600,60,50
872,25,5,20,6000,60,20
873,25,10,20,18000,70,50
874,25,5,20,600,70,20
875,22.5,5.3,20.8,24000,65,20
876,24.5,7.8,19.2,43200,65,20
877,20,5,15,3600,70,20
878,25 °C,5 mm,20 °C,600 seconds,50%,100 mm
879,24,5,20,18000,60,15
880,20 °C,5 mm,15 °C,600 seconds,60%,20 mm
881,25,5,20,600,70,50
882,25,5,20,18000,60,20
883,25,5,20,6000,70,50
884,25,5,20,3600,60,20
885,20,5,15,3600,60,20
886,22.5,5.2,18.7,25000,60,20
887,15,5,18,3600,60,20
888,24,5,22,3600,60,10
889,25,5,20,3600,60,20
890,25,5,20,6000,70,20
891,20,5,22,3600,60,50
892,20,5,18,3600,70,20
893,25,5,22,600,60,10
894,25,10,20,6000,70,50
895,25,5,20,6000,60,20
896,25,10,20,6000,60,20
897,20,5,18,3000,70,20
898,25 °C,5 mm,20 °C,300 seconds,60%,20 mm
899,-5,10,2,3000,80,30
900,20,5,15,3600,70,10
901,25,10,20,3600,80,20
902,25,5,20,9000,60,50
903,25,5,20,6000,60,50
904,24.5,4.3,22.7,28000,65,50
905,25,5,20,3600,60,15
906,25,5,20,60000,60,20
907,25,5,20,6000,50,50
908,22,5,18,6000,60,20
909,23,5,18,3600,60,10
910,22,5,18,18000,60,20
911,18,5,15,3000,60,50
912,25,5,20,3600,60,20
913,20-25,5-10,15-20,6-8,40-60,50
914,25,10,20,3600,60,50
915,20,5,18,6000,60,20
916,20,5,15,300,60,30
917,20,5,18,6000,60,30
918,25,5,20,6000,60,50
919,25,10,20,3600,60,50
920,18-25,3-5,15-20,24000-27000,50-70,10
921,25,5,20,6000,60,20
922,25,10,20,3600,60,20
923,25,10,20,6000,60,50
924,25,5,20,6000,60,50
925,25,5,20,600,60,50
926,10-25,2-5,15-30,18000-23000,40-70,30-50
927,25,5,20,6000,70,20
928,20,5,18,24000,60,10
929,25,5,20,3600,70,20
930,20,5,18,3000,60,20
931,28,10,25,3000,70,50
932,25,5,20,6000,70,20
933,20,5,18,3600,70,15
934,25,5,20,600,50,20
935,25,5,20,6000,70,20
936,20,5,18,6000,60,20
937,22,5,15,600,60,20
938,25,5,20,6000,70,50
939,25,5,20,3600,60,20
940,25 °C,10 mm,20 °C,600 seconds,60%,50 mm
941,22.5,5.3,20.8,7200,65,10
942,25,10,20,3600,70,50
943,25,5,20,6000,60,20
944,25 °C,5 mm,22 °C,600 seconds,60%,20 mm
945,25,5,20,6000,60,20
946,25,5,22,6000,70,50
947,20 °C,5 mm,15 °C,8 hours,60%,20 mm
948,20,5,18,3600,60,20
949,20,5,18,3600,50,20
950,25,5,20,3000,60,50
951,22,5,20,30000,60,20
952,22,5,20,3600,60,50
953,22,3,20,3000,60,20
954,25,5,20,3000,60,50
955,20,5,18,24000,60,20
956,20,5,15,600,75,20
957,15,5,10,18000,70,20
958,15-25,2-4,15-20,6-8,40-60,10
959,20,5,18,18000,60,50
960,15-25,5-10,10-20,2000-2500,40-70,50-100
961,20,5,18,3600,70,20
962,20,5,15,6000,60,20
963,15.5,2.5,13.8,28800,65,20
964,20,5,18,24000,60,20
965,15,5,18,18000,60,20
966,15,5,12,18000,60,20
967,22,5,18,24000,50,20
968,20,5,18,18000,60,50
969,20,5,18,6000,60,10
970,20,5,18,3600,60,30
971,15,5,18,600,60,50
972,20,5,18,18000,60,15
973,25,5,20,6000,70,20
974,20,5,25,18000,60,20
975,20,5,18,6000,60,20
976,25,5,28,3600,70,50
977,25,5,28,6000,60,20
978,22,5,18,6000,70,20
979,18,5,15,3600,60,20
980,20,5,18,6000,60,20
981,20,5,18,3600,60,20
982,20,5,18,24000,70,15
983,10-25,1-5,10-20,2000-2500,40-70,10-20
984,20,5,18,18000,60,20
985,15-20,2-4,10-15,6-8,60-70,20-30
986,10-20,2-5,8-15,18000-22000,60-80,20-30
987,15,5,12,6000,70,20
988,20,3,18,3600,60,10
989,10-20,1-5,10-15,6-8,60-80,10-20
990,20-25,5-10,15-20,6-8,60-80,20
991,20,5,18,3000,70,10
992,15,5,12,28800,70,20
993,12,3,10,3000,70,20
994,10-20,2-4,10-15,4-6,60-70,20
995,10-20,2-5,10-15,2400-2800,50-70,10-20
996,20,5,15,3600,60,20
997,15,5,12,18000,70,20
998,12,2,10,18000,60,20
999,15,5,18,600,60,10
1000,15,5,12,3600,60,20
1001,15,3,12,3600,60,20
1002,10-20,2-5,10-15,6-8,60-80,10
1003,15,3,12,18000,70,20
1004,15,5,12,600,60,30
1005,15,5,12,3600,60,20
1006,20,5,18,30000,70,20
1007,18,5,15,3600,70,20
1008,20,5,15,6000,60,20
1009,20,5,18,300,60,50
1010,15-25,5-10,10-20,6-8,50-70,20
1011,20.5,3.2,18.9,18000,60,50
1012,25,5,20,3600,70,20
1013,20-25,5-10,15-20,6-8,40-60,50
1014,10-25,2-5,10-15,6-8,40-60,10
1015,20,2,15,6000,60,50
1016,10,5,15,18000,60,20
1017,20,5,15,24000,70,20
1018,18,3,15,24000,70,20
1019,20,5,15,6000,70,20
1020,10 °C,5 mm,15 °C,600 seconds,60%,20 mm
1021,15-20,2-4,10-15,6-8,60-70,50
1022,24,5,20,6000,60,20
0,20,5,18,3600,60,50
1,25,5,20,6000,60,30
2,25,5,20,6000,70,40
3,20,5,18,3600,60,20
4,20,5,15,3600,60,20
5,20,5,18,3600,60,20
6,25,5,20,6000,60,20
7,20-30,0-5,15-25,6-8,40-60,50-100
8,18,3,15,6000,70,10
9,20,5,18,3000,70,15
10,20,5,18,3600,60,20
11,22.5,3.5,18,25000,60,50
12,25,5,20,3600,60,20
13,25,5,22,3600,50,20
14,20-25,2-4,15-20,6-8,60-80,15
15,20,5,18,6000,60,20
16,20,5,18,6000,60,50
17,20,5,18,3600,65,20
18,22,5,18,6000,50,30
19,22.5,3.5,18.2,28800,65,20
20,18,5,15,3600,60,20
21,18,3,15,24000,70,10
22,18,5,15,3600,70,20
23,12.5,2.5,15,18000,70,20
24,12,2,10,3600,60,10
25,10-20,2-7,10-15,2000-2500,50-70,20-30
26,15,5,10,18000,60,20
27,15,3,12,18000,70,10
28,15,5,12,3600,70,25
29,15,5,12,300,60,20
30,18,3,15,3000,60,20
31,20,5,18,18000,70,50
32,20,5,18,3600,50,50
33,18,5,15,600,70,15
34,18-24,2-4,15-20,2400-2800,60-70,20
35,25,10,20,3600,70,50
36,15-30,5-10,10-20,6-8,60-80,20
37,20,5,18,600,70,20
38,20,5,18,6000,60,20
39,18.5,2.5,15.2,27000,60,20
40,22,5,18,30000,60,30
41,20,5,15,6000,60,20
42,20,5,15,3600,70,20
43,10-20,2-4,10-25,6-8,50-70,50
44,18,5,15,3600,70,20
45,18,2,15,6000,70,20
46,18,5,15,18000,70,20
47,20,5,18,30000,60,10
48,18,5,15,3000,60,20
49,10-20,3-5,10-15,6-8,50-70,10-15
50,20,5,15,300,60,20
51,10-25,1-3,10-20,24000-26000,60-80,15-20
52,18,5,15,18000,60,50
53,20,5,18,600,60,20
54,18-25,2-5,15-20,2400-2800,60-80,20-30
55,20,5,18,3600,60,15
56,18.5,3.2,15.7,24000,65,10
57,23,5,18,3000,60,20
58,20,5,18,6000,60,50
59,25,5,20,3600,60,20
60,20,5,15,3000,60,20
61,25,5,18,3600,60,30
62,20,5,18,6000,70,50
63,20-25,5-10,15-20,6-8,40-60,50-70
64,20,5,18,600,60,30
65,20,5,18,12000,60,20
66,20,5,15,3600,60,20
67,20,5,18,3000,70,20
68,18.5,3.2,15.7,3200,65,50
69,20,5,18,600,60,30
70,20,5,18,24000,60,20
71,20,5,18,3600,60,20
72,20,5,15,3600,60,20
73,20,5,15,3600,60,20
74,22,5,18,3600,60,30
75,20,5,18,3600,60,20
76,20,5,18,3600,60,10
77,10-20,2-5,10-15,1800-2200,50-70,15
78,12.5,2.8,10.3,21600,75,15
79,15,3,12,3600,70,10
80,10-20,2-5,8-15,2000-2500,50-70,20
81,10-18 °C,2-5 mm,8-15 °C,4-6 seconds,50-70%,10-20 mm
82,20,5,18,6000,60,20
83,20,5,15,300,60,20
84,10-20,1-3,8-15,18000-20000,40-60,10-20
85,20,5,15,3600,60,20
86,20,5,15,3600,60,20
87,22,5,18,24000,70,20
88,10-25,5-10,15-20,6-8,60-80,20
89,20,5,18,3000,60,20
90,15-25,5-10,10-20,2400-2800,40-60,20
91,15-25,2-5,10-20,18000-22000,50-70,10
92,20,5,18,28800,70,20
93,20,5,18,6000,70,20
94,20,5,18,3600,60,20
95,20,5,18,3600,70,20
96,20,5,18,600,60,50
97,25,5,20,6000,60,50
98,25,5,20,3600,60,50
99,20,5,18,6000,60,20
100,20,5,15,600,60,20
101,25,5,20,3600,60,30
102,20,5,18,6000,60,20
103,22,5,18,3600,60,25
104,20,5,18,3600,60,20
105,20-30,5-10,18-24,6-8,50-70,40
106,20,5,15,6000,60,20
107,20,5,18,18000,60,20
108,25,5,20,6000,60,20
109,25,5,20,6000,60,20
110,25,5,20,6000,60,20
111,20-30,2-4,15-25,6-8,60-80,50
112,20,5,15,6000,60,20
113,25,5,20,6000,60,20
114,22,5,18,6000,60,15
115,20,5,15,6000,60,20
116,20,10,18,3600,60,50
117,20,5,18,3600,60,20
118,22,5,18,4000,60,50
119,22,5,18,6000,60,50
120,25,5,20,3600,60,20
121,20,5,18,3600,60,20
122,20-25,5-10,15-20,6-8,40-60,50
123,20 °C,5 mm,18 °C,8 hours,60%,30 mm
124,20,5,18,3600,60,20
125,22,5,18,3600,60,15
126,25,5,20,3600,60,20
127,20,5,18,600,60,20
128,20,5,15,3600,55,20
129,25,5,20,3600,60,20
130,25,5,22,3600,70,20
131,22,5,18,6000,60,20
132,25,5,20,3600,60,20
133,25,5,20,6000,70,20
134,25,5,20,3600,60,20
135,20,5,18,6000,60,20
136,22,5,18,6000,60,20
137,20,5,18,3600,60,15
138,20,3,18,3600,60,20
139,25,5,20,6000,70,50
140,25,5,20,6000,60,20
141,25,5,20,3600,60,20
142,20-25°C,5-10 mm,15-20°C,6-8 hours,50-70%,20 mm
143,20,5,18,28800,60,20
144,20,5,18,3600,70,20
145,22,5,18,300,70,10
146,15,2,10,18000,70,20
147,20,5,15,3000,70,20
148,15,5,10,28800,60,20
149,18,2.5,15,24000,70,20
150,19,3,15,24000,70,10
151,18,2,12,3600,70,10
152,15,5,12,24000,70,20
153,15,2,12,6000,70,10
154,20,5,18,18000,70,30
155,15-25,5-10,15-20,6-8,60-80,20
156,15-25,5-10,15-20,6-8,40-60,20
157,20,5,18,24000,60,20
158,20,5,15,3000,70,50
159,20,5,18,3000,70,50
160,20,5,18,3600,70,15
161,20,5,18,3600,50,20
162,20,5,18,3000,60,20
163,15,5,18,3600,60,20
164,15-25,2-5,10-20,6-8,40-60,10
165,20,5,18,3600,65,20
166,20,5,18,3600,50,20
167,15-25,2-5,20-30,24000-26000,60-80,20
168,20,5,15,6000,70,20
169,15-25,5-10,10-20,2000-2500,60-80,30-40
170,15-25,2-5,15-20,6-8,40-60,20
171,15-25,5-10,15-20,6-8,50-70,20
172,15 °C,3 mm,18 °C,600 seconds,60 %,20 mm
173,18.5,3.5,15.2,28800,65,20
174,15-25,5-10,15-20,6-8,40-60,20-30
175,15-25,2-4,10-20,2400-2800,40-60,10
176,20,5,15,3000,60,30
177,20,5,15,24000,70,20
178,15-25,2-5,10-20,6-8,40-70,20
179,20,5,18,3600,60,20
180,15,5,20,3600,50,20
181,10-25,2-5,8-20,6-8,40-80,20
182,20,5,15,3600,60,20
183,15,5,12,18000,70,20
184,20,2,15,24000,60,10
185,20,5,18,30000,60,10
186,20,5,18,18000,60,20
187,25,5,20,3600,60,50
188,23,5,18,6000,60,20
189,20,5,18,6000,70,100
190,20,2,18,6000,60,10
191,23,3,20,3600,60,20
192,20-30,5-10,15-25,6-8,60-80,50-100
193,25,5,20,300,60,20
194,22,5,18,8000,70,15
195,20,5,15,18000,60,20
196,20,5,18,3600,60,20
197,20,3,18,3600,60,20
198,20,5,18,3600,60,20
199,22,5,18,30000,70,20
200,20,5,18,6000,60,50
201,18,5,15,6000,60,20
202,20,5,18,3000,60,20
203,20,5,18,6000,70,20
204,20,5,18,6000,60,50
205,22,5,18,6000,60,20
206,20-25,5-10,15-20,3000-3500,60-70,20
207,22,5,18,3600,50,20
208,18,3,20,6000,60,20
209,20,5,18,3600,60,20
210,22,5,17,300,70,20
211,20,5,18,5000,70,20
212,20,5,18,600,60,50
213,20,5,18,6000,70,20
214,12 °C,10 mm,15 °C,600 seconds,60%,50 mm
215,20,5,18,6000,50,20
216,20,5,18,18000,60,20
217,20,5,18,6000,60,20
218,20,5,17,600,60,20
219,20,5,15,600,60,20
220,20,2,18,6000,60,15
221,15-25,2-5,15-20,24000-28000,40-60,50-100
222,18,5,15,18000,60,20
223,20,5,18,24000,60,20
224,18,4,15,5400,60,30
225,20 °C,5 mm,15 °C,600 seconds,50%,20 mm
226,20,5,18,3600,60,20
227,22,5,20,3000,60,20
228,20,5,15,6000,50,20
229,20,5,18,300,60,20
230,20,5,15,600,65,20
231,15,5,12,3600,70,20
232,20,5,18,24000,60,20
233,20,3,18,6000,60,15
234,15,5,10,3000,70,50
235,25,5,20,3600,60,20
236,20,5,18,18000,60,20
237,25,5,20,3600,60,20
238,22,5,20,10000,60,20
239,25,5,20,6000,60,20
240,20,5,18,300,60,20
241,25,5,20,600,60,50
242,15-25,5-15,10-20,18000-22000,40-70,20-40
243,20-30,5-10,25-35,3000-3500,60-80,50-100
244,16,5,14,300,60,20
245,20,5,15,3600,50,20
246,20,5,18,3600,70,50
247,18,8,15,18000,60,20
248,10-20,2-5,10-15,24000,60-80,20
249,20,5,18,3600,60,20
250,20,5,18,24000,60,50
251,15,5,12,18000,70,20
252,20,5,18,3600,60,20
253,18,5,15,6000,60,20
254,20.5,8.2,18.3,28800,65,30
255,18,5,15,18000,65,20
256,25,10,20,600,60,50
257,20,5,15,18000,70,20
258,20,5,15,300,60,20
259,15,5,10,18000,50,20
260,10 to 20,5 to 10,10 to 15,1200 to 1600,40 to 60,20
261,10,5,8,600,70,20
262,15,5,10,30000,60,20
263,20,5,18,12000,60,20
264,18,3,15,3600,70,20
265,20,5,18,3000,70,20
266,20,5,15,18000,70,20
267,15,5,12,18000,70,20
268,15-20,2-5,15-20,2400-2600,60-70,20
269,15,5,12,3600,70,20
270,20,3,15,5000,70,10
271,8-20,2-5,5-18,18000-22000,40-70,10
272,12,2,10,18000,70,10
273,15,5,12,3600,60,40
274,15,5,10,18000,50,100
275,16,2,14,18000,50,15
276,15,5,12,300,70,20
277,18,5,15,6000,65,20
278,15,5,12,6000,50,20
279,18,5,15,3600,70,20
280,15,5,18,600,60,20
281,20,5,15,18000,60,20
282,15,5,12,300,60,20
283,25,5,20,3600,65,20
284,18,5,15,3600,70,20
285,20,5,18,3600,60,20
286,18,5,15,3600,60,20
287,20,5,18,3600,60,20
288,20,5,18,6000,60,20
289,20,5,18,3600,60,15
290,15-20,5-10,10-15,6-8,60-70,20
291,20,5,18,18000,60,20
292,15,5,12,3600,70,20
293,15-25,2-5,10-20,2400-2800,50-70,10-20
294,20,5,18,18000,70,20
295,20,5,15,300,70,50
296,10-20,2-4,10-15,6-8,60-70,20
297,20,5,18,3600,60,20
298,20,5,15,3600,60,10
299,25,5,20,6000,60,20
300,25,5,20,600,60,20
301,20 °C,5 mm,22 °C,8 hours,60%,20 mm
302,25,5,20,6000,70,20
303,25,5,20,6000,60,20
304,20,5,15,3600,70,20
305,15-25,5-10,15-20,3000-3500,40-60,20
306,20,5,15,3600,70,20
307,20 °C,5 mm,18 °C,10 seconds,60%,15 mm
308,15°C,5 mm,10°C,1800 seconds,65%,50 mm
309,15,5,10,3600,60,20
310,22,5,16,24000,60,30
311,15,3,10,3600,70,20
312,20,5,15,18000,70,20
313,18.5,4.2,15.8,21600,65,10
314,20,5,18,25000,70,20
315,15-25,5-10,10-20,6000-7000,40-70,20
316,15,2,12,18000,60,20
317,20,5,18,6000,60,20
318,20,5,15,3000,60,30
319,12.5°C,2.5mm,10.2°C,2800 seconds,65%,20mm
320,20,5,18,18000,60,20
321,10-25,2-5,8-15,18000-22000,40-60,15
322,10,3,13,24000,70,20
323,18,5,15,24000,60,20
324,18,5,15,300,60,20
325,18,3,15,3600,60,10
326,20,5,18,6000,60,20
327,15-25,2-5,10-20,2000-2500,50-70,10
328,15-25,5-10,10-20,6-8,60-80,20
329,15-25,5-10,10-20,6-8,60-70,50
330,20,5,18,3600,60,20
331,15-25,2-5,10-20,3000-3500,40-60,40-60
332,25,5,20,3600,70,50
333,20,5,18,10000,60,20
334,20,5,15,3600,60,20
335,18,5,15,3600,60,20
336,20,5,15,3600,60,20
337,20,5,15,3600,70,20
338,20,3,18,3600,70,10
339,20 °C,5 mm,18 °C,600 seconds,60 %,20 mm
340,18,5,15,3000,60,20
341,20,5,18,3600,60,20
342,15-20,2-5,10-15,18000-22000,60-80,20
343,20,5,15,6000,70,20
344,15,5,12,6000,60,20
345,15-25,2-4,10-20,18000-20000,40-60,30
346,15,5,18,24000,60,20
347,18,3,15,7200,60,10
348,20,5,18,6000,70,30
349,20,5,15,6000,60,20
350,15,2,12,3600,60,20
351,20,2,18,18000,60,10
352,18,5,15,3600,60,20
353,20,5,15,30000,60,20
354,20,5,15,3600,50,10
355,20,5,18,18000,60,20
356,15,2,12,3600,60,20
357,20,5,15,6000,70,20
358,17,2,15,30000,60,20
359,20,5,18,6000,60,20
360,15,5,10,600,70,20
361,15,5,18,24000,60,20
362,18,5,15,3600,60,20
363,18,5,15,3000,60,20
364,20,2,18,30000,60,10
365,20,5,15,3600,60,20
366,20,2,15,24000,60,15
367,25,5,20,3600,50,20
368,18,5,15,6000,60,10
369,15,5,18,6000,70,20
370,25,3,22,3600,60,20
371,20,5,18,600,60,15
372,20,5,18,6000,60,20
373,20,5,18,6000,60,20
374,20,5,15,300,60,20
375,10 - 25,5 - 10,10 - 20,18000 - 22000,40 - 60,20
376,22°C,5 mm,20°C,800 seconds,60%,20 mm
377,15,5,12,3000,60,20
378,20,5,15,3600,60,50
379,18.5,4.2,15.2,300,65,20
380,15-25,5-10,10-20,24000-26000,40-60,30-40
381,15,5,12,24000,60,20
382,20,5,18,600,70,20
383,25,5,20,6000,60,20
384,20,5,18,28800,60,20
385,18,5,15,24000,60,20
386,18,5,15,18000,50,20
387,18.5,3.2,15.8,24000,70,10
388,10-20,5-10,10-15,18000-20000,40-60,20
389,18 °C,5 mm,15 °C,600 seconds,60 %,15 mm
390,20-25,5-10,15-20,6-8,40-60,20-30
391,22 °C,5 mm,20 °C,8 hours,70%,20 mm
392,20,5,18,3600,60,20
393,20,5,18,300,60,20
394,20,5,15,18000,60,20
395,15-25,5-10,10-20,6-8,40-60,20
396,15-25,2-5,10-20,6-8,40-60,10
397,20,5,15,24000,60,20
398,15-25,5-10,15-20,6-8,50-70,20-30
399,18.5,6.3,17.2,24000,60,20
400,18,5,15,3600,60,50
401,20,5,15,18000,70,20
402,20,5,18,3000,60,15
403,22,5,18,3600,70,20
404,20,3,18,300,60,10
405,20,5,18,3600,70,20
406,20,5,18,3600,60,50
407,20 °C,10 mm,15 °C,600 seconds,70%,50 mm
408,20-30,5-10,15-20,2400-2800,60-70,20
409,20,5,18,6000,70,50
410,20,5,15,5000,70,20
411,15,5,18,3000,70,50
412,25,5,20,6000,60,50
413,20,5,18,3600,70,20
414,25,5,20,28800,70,20
415,18,5,15,24000,60,20
416,20,5,18,6000,70,50
417,22,5,18,3600,60,20
418,20,5,15,3600,70,30
419,20,5,15,3600,70,20
420,20,5,15,18000,60,50
421,25,10,20,6000,70,30
422,20,5,18,600,60,20
423,20,5,15,6000,60,20
424,20,5,15,18000,50,20
425,20,5,15,18000,60,30
426,18,2,15,6000,60,15
427,15-25,2-5,10-20,18000-22000,60-80,20
428,15-25,2-5,15-20,2400-2800,40-60,100-150
429,18,5,15,12000,55,20
430,20,5,15,6000,60,10
431,18,3,15,3600,60,10
432,18.5,4.2,15.8,24000,70,30
433,15,5,10,3600,60,20
434,15,5,12,18000,70,20
435,20,5,18,3600,70,20
436,25,5,18,3600,60,20
437,18,2,15,3600,60,20
438,20,5,18,3600,60,20
439,22,5,18,6000,60,50
440,25,5,20,3600,60,20
441,15-30,2-4,15-25,24000-28000,50-70,20
442,22,5,18,6000,60,20
443,20,5,18,3000,60,20
444,20,5,18,6000,60,20
445,20,5,18,3600,65,20
