,Average Temperature (2 m)_1,Average Temperature (2 m)_2,Average Precipitation per day_1,Average Precipitation per day_2,Average Soil Temperature (0 to 6 cm)_1,Average Soil Temperature (0 to 6 cm)_2,Average Sunshine Duration_1,Average Sunshine Duration_2,Humidity(%)_1,Humidity(%)_2,Rainfall Alert Maximum Rain (mm)_1,Rainfall Alert Maximum Rain (mm)_2
1261,15,,5,,18,,6000,,70,,20,
1262,15,,5,,10,,12000,,70,,20,
1263,20,,5,,15,,6000,,60,,20,
1264,25,,5,,18,,600,,70,,20,
1265,12,,4,,10,,18000,,60,,20,
1266,10,25,2,5,10,20,2000,2500,40,60,10,20
1267,18,,5,,15,,24000,,60,,20,
1268,15,,5,,12,,3600,,60,,20,
1269,10,20,2 , 4,8 , 15,4 , 6,60 , 80,50,
1270,25,,5,,20,,6000,,70,,15,
1271,20,,5,,15,,3000,,70,,20,
1272,18,,5,,15,,3600,,60,,20,
1273,20,,5,,18,,3600,,70,,30,
1274,20,,5,,18,,3000,,60,,20,
1275,18.5,,6.7,,20.2,,24000,,65,,20,
1276,25,,10,,20,,30000,,60,,50,
1277,12,,5,,10,,20000,,70,,15,
1278,15,25,5,10,15,20,6,8,50,70,20,
1279,25,,5,,20,,3600,,70,,20,
1280,22,,5,,18,,10s,,70,,20,
1281,18,25,5,10,15,20,2400,2800,50,70,20,
1282,15,,5,,18,,30000,,60,,20,
1283,18,,5,,15,,6000,,60,,20,
1284,20,,5,,18,,600,,50,,20,
1285,20,,5,,18,,6000,,70,,15,
1286,20,25,5,10,15,20,8,10,40,60,20,
1287,20,,5,,18,,18000,,60,,20,
1288,20,,5,,15,,5000,,60,,20,
1289,20,,5,,18,,600s,,60,,20,
1290,20,,5,,18,,12000,,60,,20,
1291,15,,5,,18,,6000,,70,,10,
1292,18,,2,,15,,2400,,60,,10,
1293,25,,5,,20,,3000,,60,,30,
1294,20,,5,,18,,3600,,60,,20,
1295,25,,5,,18,,3000,,60,,20,
1296,15,25,5,10,15,20,18000,20000,40,60,20,
1297,20,,5,,18,,3600,,60,,20,
1298,18,,10,,15,,6000,,60,,20,
1299,18,,5,,15,,5000,,60,,20,
1300,20,,5,,15,,9000,,60,,20,
1301,18,,5,,15,,300,,60,,20,
1302,15,,5,,10,,18000,,60,,20,
1303,20,,5,,15,,6000,,60,,15,
1304,15,,5,,12,,3600,,60,,20,
1305,25,,5,,20,,3000,,60,,20,
1306,25,,5,,18,,3000,,60,,20,
1307,15,,5,,12,,18000,,60,,20,
1308,24,,5,,20,,6000,,70,,20,
1309,18,,2,,15,,18000,,60,,20,
1310,18,,5,,15,,8h,,60,,20,
1311,25,,5,,20,,6000,,60,,20,
1312,20,,5,,18,,600,,60,,20,
1313,25,,5,,20,,6000,,50,,20,
1314,20,,5,,15,,36000,,60,,50,
1315,15,,5,,10,,6000,,60,,15,
1316,15,20,5,10,12,15,18000,20000,40,60,20,
1317,,5,5,,3,,18000,,70,,30,
1318,15,,5,,12,,2400,,60,,20,
1319,15,,2,,10,,18000,,60,,20,
1320,23,,5,,18,,6000,,50,,20,
1321,25,,5,,20,,6000,,60,,30,
1322,25,,5,,20,,3600,,60,,10,
1323,20,,5,,15,,6000,,60,,20,
1324,15,,5,,12,,6000,,70,,20,
1325,15,,5,,10,,6000,,70,,20,
1326,10,20,3,5,10,15,4,6,60,80,20,
1327,20,,5,,15,,600,,70,,10,
1328,25,,10,,20,,3600,,70,,50,
1329,20,,5,,15,,6000,,60,,20,
1330,20,,5,,15,,6000,,60,,20,
1331,15.3,,2.5,,14.8,,28000,,60,,20,
1332,20,,5,,18,,6000,,60,,20,
1333,15,,5,,12,,12000,,70,,20,
1334,25,,10,,20,,6000,,60,,50,
1335,20,,5,,15,,60000,,60,,10,
1336,15,,5,,12,,3600,,50,,10,
1337,18,,5,,15,,3000,,60,,20,
1338,20,,5,,18,,600,,60,,20,
1339,15,,5,,12,,6000,,70,,20,
1340,25,,10,,20,,3000,,60,,50,
1341,25,,10,,20,,3000,,60,,50,
1342,15,,5,,12,,18000,,70,,20,
1343,20,,3,,18,,30000,,60,,20,
1344,14.5,,3.2,,12.8,,18000,,75,,10,
1345,20,,5,,15,,6000,,60,,50,
1346,15,,5,,20,,18000,,70,,20,
1347,22,,5,,18,,3600,,45,,20,
1348,16,,5,,14,,300,,60,,20,
1349,20,,5,,15,,600,,70,,20,
1350,12,,5,,10,,3600,,70,,50,
1351,15.5,,2.3,,18.2,,25000,,60,,30,
1352,20,,5,,15,,6000,,70,,30,
1353,18,,5,,15,,600,,70,,30,
1354,20,,5,,15,,6000,,60,,20,
1355,18,,5,,15,,3600,,60,,30,
1356,16,,5,,18,,6000,,60,,20,
1357,15,,5,,18,,6000,,50,,20,
1358,20,,5,,18,,18000,,60,,50,
1359,18,,3,,15,,6000,,60,,20,
1360,15,,5,,20,,18000,,50,,50,
1361,12,,2,,10,,18000,,70,,10,
1362,10,25,2,5,10,20,3000,3500,40,60,10,
1363,15.6,,4.5,,12.3,,6300,,65,,50,
1364,20,,5,,15,,12000,,65,,30,
1365,20,,5,,15,,6000,,60,,20,
1366,18,,5,,20,,600,,70,,30,
1367,20,,5,,15,,3600,,60,,20,
1368,15,25,5,10,15,20,6,8,60,80,20,
1369,20,,5,,18,,30000,,60,,20,
1370,10,20,2,3,10,15,6,8,40,60,20,30
1371,20,,5,,15,,3600,,60,,10,
1372,15,,5,,18,,6000,,70,,20,
1373,20,,5,,15,,3600,,60,,20,
1374,25,,5,,22,,9000,,70,,50,
1375,20,,5,,15,,3600,,60,,20,
1376,15,25,5,10,10,20,2400,2800,40,60,20,30
1377,18,,5,,15,,30000,,70,,50,
1378,20,,5,,18,,300,,60,,20,
1379,20,,10,,25,,6000,,60,,50,
1380,22,,3,,18,,24000,,60,,25,
1381,20,,5,,15,,6000,,60,,20,
1382,18,,5,,15,,24000,,60,,20,
1383,18,,5,,15,,6000,,60,,20,
1384,25,,5,,20,,3000,,70,,20,
1385,19.7,,2.5,,16.5,,25000,,60,,20,
1386,15,25,2,5,10,20,1200,1600,40,60,10,
1387,15,,5,,10,,24000,,60,,30,
1388,20,,5,,15,,12000,,60,,20,
1389,22.5,,5.8,,20.3,,21600,,60,,20,
1390,22,,5,,18,,6000,,60,,50,
1391,25,,5,,20,,6000,,60,,20,
1392,15,,5,,18,,6000,,60,,20,
1393,15,,5,,12,,60000,,60,,20,
1394,25,,5,,20,,6000,,60,,20,
1395,10,,2,,8,,3000,,60,,10,
1396,20,,5,,18,,600,,60,,10,
1397,20,,5,,15,,600,,60,,20,
1398,18,,5,,15,,6000,,60,,20,
1399,15,,5,,12,,18000,,60,,20,
1400,18,,5,,15,,3600,,60,,20,
1401,20,,5,,15,,6000,,70,,20,
1402,20,,5,,18,,3000,,60,,20,
1403,18,,5,,15,,30000,,60,,20,
1404,18,,5,,15,,3600,,60,,20,
1405,25,,5,,20,,3600,,70,,50,
1406,15,,5,,18,,6000,,70,,20,
1407,15,,5,,10,,3600,,60,,20,
1408,10,20,2,5,10,15,4000,5000,40,60,20,
1409,18,,3,,15,,24000,,60,,20,
1410,25,,5,,20,,3000,,70,,50,
1411,25,,5,,20,,3600,,60,,50,
1412,25,,5,,20,,600s,,70,,50,
1413,20,,5,,18,,6000,,60,,20,
1414,18,,5,,15,,6000,,70,,15,
1415,18,,5,,15,,500s,,60,,20,
1416,18,,5,,15,,18000,,60,,50,
1417,25,,5,,20,,3600,,60,,20,
1418,20,,5,,15,,6000,,50,,30,
1419,20,,5,,18,,6000,,60,,50,
1420,20,,5,,15,,6000,,60,,20,
1421,20,,10,,18,,6000,,60,,30,
1422,15,,5,,12,,6000,,60,,20,
1423,15,,5,,10,,18000,,70,,20,
1424,18,,5,,15,,24000,,70,,50,
1425,22,,5,,18,,6000,,60,,20,
1426,18,,5,,15,,3000,,50,,20,
1427,20,,5,,18,,3000,,60,,20,
1428,25,,5,,20,,18000,,60,,20,
1429,20,,5,,15,,6000,,60,,20,
1430,16.5,,2.3,,14.2,,25000,,70,,20,
1431,18,,5,,15,,30000,,60,,20,
1432,20,,5,,18,,3600,,60,,50,
1433,15,,5,,18,,30000,,70,,50,
1434,18,,5,,15,,6000,,60,,20,
1435,20,,5,,15,,6000,,60,,20,
1436,15,,5,,10,,24000,,60,,20,
1437,20,,5,,18,,600,,60,,20,
1438,10,,10,,12,,300,,60,,50,
1439,10,25,2,5,10,20,4,6,40,60,50,100
1440,15,,5,,18,,3600,,60,,50,
1441,20,,5,,18,,24000,,65,,20,
1442,25,,5,,22,,6000,,70,,20,
1443,25,,5,,20,,3600,,70,,30,
1444,15,,5,,18,,600,,50,,20,
1445,20,,5,,18,,6000,,60,,20,
1446,17,,2.5,,14,,3000,,60,,50,
1447,20,,5,,15,,6000,,60,,20,
1448,15,,5,,12,,24000,,50,,20,
1449,20,,5,,18,,6000,,70,,20,
1450,22,,5,,18,,6000,,60,,20,
1451,15,,5,,18,,3600,,60,,20,
1452,20,,5,,18,,600,,70,,20,
1453,10,20,2,4,10,15,18000,22000,40,60,20,
1454,18,,5,,15,,6000,,65,,20,
1455,15,,5,,12,,30000,,60,,20,
1456,20,,5,,15,,18000,,60,,20,
1457,20,,5,,18,,3600,,50,,20,
1458,20,,5,,18,,3600,,60,,30,
1459,15,,5,,10,,3600,,50,,20,
1460,10,20,2,5,15,25,18000,20000,40,60,20,
1461,20,,5,,18,,6000,,80,,20,
1462,18,,5,,15,,24000,,60,,20,
1463,15,25,5 , 10,10 , 20,18000 , 22000,40 , 70,20 , 30
1464,15,,5,,12,,6000,,50,,20,
1465,15,,5,,18,,6000,,60,,20,
1466,20,,5,,15,,6000,,60,,20,
1467,20,,5,,15,,6000,,60,,20,
1468,18,,5,,15,,24000,,60,,30,
1469,20,,5,,15,,3000,,60,,30,
1470,18,,5,,20,,6000,,60,,50,
1471,15,,5,,10,,18000,,60,,20,
1472,18,,3,,15,,24000,,60,,10,
1473,20,,5,,18,,24000,,70,,25,
1474,20.5,,5,,18.2,,28800,,60,,50,
1475,15,20,5 , 10,12 , 18,6000 , 8000,40 , 60,30,
1476,25,,5,,20,,3600,,70,,20,
1477,18,,5,,15,,6000,,60,,20,
1478,20,,5,,15,,3000,,60,,25,
1479,22,,5,,18,,6000,,50,,15,
1480,15.6,,3.2,,13.8,,24000,,70,,30,
1481,25,,5,,20,,3600,,60,,20,
1482,20,,5,,15,,300,,60,,20,
1483,18,,5,,15,,6000,,70,,30,
1484,20,,5,,15,,6000,,60,,20,
1485,22,,5,,18,,18000,,70,,50,
1486,18,,5,,15,,6000,,60,,30,
1487,10,25,5,10,15,20,6,8,40,60,20,30
1488,15,,5,,18,,6000,,50,,20,
1489,18,,3,,15,,3600,,60,,50,
1490,18,,5,,15,,3000,,60,,20,
1491,18,,5,,15,,3000,,60,,20,
1492,15,25,5,10,10,20,3000,3500,40,60,20,30
1493,22,,5,,18,,3000,,60,,20,
1494,10,20,2,5,10,15,6,8,40,60,10,20
1495,17,,2,,20,,25000,,55,,20,
1496,20,,5,,15,,3600,,60,,20,
1497,25,,5,,20,,6000,,60,,20,
1498,20,,5,,18,,3000,,70,,50,
1499,,5.8,5.2,,5.1,,28800,,60,,20,
1500,20,,5,,18,,600,,60,,20,
1501,20,,5,,18,,3600,,60,,50,
1502,18,,5,,15,,18000,,60,,50,
1503,20,,5,,15,,6000,,60,,20,
1504,10,30,Varies depending on the region,,15,25,Varies depending on the region,,Varies depending on the region,,Varies depending on the region,
1505,10,20,5,10,12,18,3000,3500,40,60,20,30
1506,20,,5,,15,,6000,,60,,20,
1507,20,,5,,18,,6000,,60,,20,
1508,15,,5,,18,,6000,,60,,20,
1509,20,,5,,18,,3600,,60,,20,
1510,20,,10,,18,,3600,,60,,50,
1511,12,,5,,10,,3000,,60,,20,
1512,23,,5,,18,,300,,60,,20,
1513,20.5,,5,,18,,3600,,65,,30,
1514,18,,5,,15,,30000,,50,,20,
1515,25,,10,,20,,3000,,60,,50,
1516,15,25,2,5,12,20,24000,28000,40,60,10,
1517,10,25,5,15,10,20,24000,28000,60,80,20,
1518,20,,5,,15,,6000,,60,,50,
1519,20,,5,,18,,3600,,60,,50,
1520,18,,3,,15,,24000,,60,,20,
1521,20,,5,,15,,6000,,60,,20,
1522,18,,5,,15,,3600,,60,,20,
1523,15,,5,,12,,3600,,70,,20,
1524,20,,5,,18,,3600,,70,,20,
1525,18.5,,5.6,,15.2,,26400,,70,,50,
1526,15,,5,,20,,3600,,60,,20,
1527,22,,5,,18,,6000,,50,,50,
1528,18,,5,,15,,6000,,60,,20,
1529,20,,5,,18,,3600,,70,,20,
1530,15,25,3,5,10,20,6,8,50,70,20,
1531,20,,5,,18,,3600,,70,,20,
1532,25,,5,,20,,3600,,60,,20,
1533,20,,5,,15,,18000,,60,,50,
1534,20,,5,,15,,18000,,60,,50,
1535,18,,4,,15,,24000,,60,,20,
1536,15,,5,,12,,3000,,60,,20,
1537,18,,5,,15,,6000,,60,,20,
1538,18,,5,,15,,6000,,60,,20,
1539,20,,5,,15,,12000,,60,,20,
1540,18,,5,,15,,18000,,60,,20,
1541,15,25,5,10,10,15,2000,2500,40,60,15,20
1542,10,,5,,15,,18000,,60,,30,
1543,20,,5,,18,,6000,,60,,20,
1544,20,,5,,18,,3000,,70,,20,
1545,10,25,5,10,10,20,6,8,40,70,20,
1546,22.5,,5.2,,15.7,,3600,,60,,20,
1547,10,25,5,10,10,20,4,8h,40,60,50,
1548,20,,5,,18,,3600,,60,,50,
1549,15.6,,2.5,,12.3,,27000,,65,,50,
1550,25,,5,,20,,6000,,60,,10,
1551,15,,5,,10,,24000,,60,,30,
1552,18,,5,,15,,18000,,60,,20,
1553,15,30,2,5,15,25,6,8,40,60,50,100
1554,18,,3,,15,,3000,,60,,20,
1555,20,,5,,15,,18000,,60,,20,
1556,20,,5,,15,,6000,,60,,20,
1557,15,25,2,5,10,20,24000,28000,40,60,10,
1558,25,,5,,20,,600,,60,,20,
1559,25,,10,,20,,3600,,70,,20,
1560,25,,5,,20,,3000,,60,,20,
1561,,5,5,,2,,30000,,70,,20,
1562,25,,5,,20,,6000,,70,,10,
1563,25,,5,,20,,300,,60,,20,
1564,25,,10,,20,,18000,,70,,50,
1565,25,,5,,20,,6000,,70,,20,
1566,25,,10,,20,,18000,,60,,50,
1567,25,,5,,20,,18000,,65,,50,
1568,25,,5,,20,,6000,,60,,20,
1569,20,25,5,10,15,20,3000,3500,60,70,20,
1570,18.5,,4.2,,14.8,,18000,,65,,20,
1571,25,,5,,20,,6000,,60,,20,
1572,25,,5,,20,,6000,,50,,20,
1573,25,,10,,22,,600,,60,,50,
1574,25,,10,,20,,3600,,70,,20,
1575,25,,10,,20,,3600,,60,,50,
1576,25,,5,,20,,600,,70,,10,
1577,25,,5,,20,,6000,,60,,20,
1578,25,,5,,20,,3600,,60,,20,
1579,22,,5,,18,,600,,65,,20,
1580,25,,5,,20,,6000,,60,,20,
1581,20,,5,,18,,600,,60,,20,
1582,10,,5,,8,,300s,,60,,20,
1583,20,,10,,25,,12h,,60,,50,
1584,25,,5,,20,,300,,60,,50,
1585,20,25,5,10,15,20,18000,20000,60,70,50,100
1586,25,,10,,22,,6000,,70,,20,
1587,20,,5,,18,,3600,,60,,20,
1588,25,,10,,20,,3600,,70,,20,
1589,25,,5,,20,,600,,70,,20,
1590,25,,10,,20,,3000,,60,,50,
1591,0,,0,,0,,0,,0,,0,
1592,20,,5,,18,,600,,70,,20,
1593,25.5,,10.2,,21.8,,43200,,75,,50,
1594,20,,10,,18,,6000,,70,,50,
1595,20,,5,,18,,3600,,60,,20,
1596,22,,10,,18,,6000,,60,,50,
1597,24,,5,,18,,28000,,65,,20,
1598,20,,5,,18,,6000,,60,,20,
1599,22,,5,,18,,28800,,60,,25,
1600,20,,5,,18,,6000,,70,,20,
1601,20,,2,,18,,3000,,50,,20,
1602,18,,5,,15,,300,,70,,20,
1603,20,,5,,18,,6000,,60,,20,
1604,20,,5,,15,,6000,,60,,20,
1605,20,,5,,18,,60000,,60,,20,
1606,18,,3,,15,,3600,,50,,50,
1607,20,,5,,15,,6000,,50,,10,
1608,25,,5,,20,,6000,,60,,20,
1609,20,,5,,18,,6000,,60,,50,
1610,25,,5,,18,,6000,,60,,20,
1611,25,,10,,20,,3000,,60,,50,
1612,25,,5,,20,,3600,,70,,30,
1613,20,,5,,18,,6000,,60,,20,
1614,20,,5,,18,,300,,50,,15,
1615,25,,5,,20,,6000,,60,,20,
1616,25,,10,,20,,600s,,70,,20,
1617,15,25,5,10,15,20,3000,3500,40,60,20,
1618,18,,2,,15,,18000,,60,,10,
1619,20,,5,,18,,6000,,60,,20,
1620,20,25,5,10,15,20,6,8,60,70,50,100
1621,20,,5,,15,,6000,,50,,20,
1622,20,,5,,18,,6000,,60,,20,
1623,22,,5,,18,,18000,,60,,30,
1624,20,,5,,18,,6000,,60,,10,
1625,25,,3,,20,,6000,,50,,20,
1626,20,,5,,15,,3600,,60,,20,
1627,25,,5,,20,,3600,,60,,20,
1628,25,,5,,20,,6000,,70,,50,
1629,20,,5,,18,,6000,,60,,20,
1630,25,,5,,20,,3600,,60,,20,
1631,20,30,3 , 5,15 , 25,6 , 8,40 , 60,20,
1632,20,,5,,18,,6000,,50,,10,
1633,20,30,5,15,15,25,24000,28000,40,60,30,
1634,20,,5,,15,,6000,,60,,20,
1635,20,,5,,18,,600,,60,,50,
1636,,5,10,,5,,30000,,60,,50,
1637,25,,5,,20,,3600,,50,,20,
1638,18,,5,,15,,30000,,50,,20,
1639,20,,5,,18,,6000,,60,,10,
1640,25,,5,,20,,6000,,60,,20,
1641,25,,5,,20,,3600,,60,,20,
1642,25,,10,,20,,6000,,60,,50,
1643,18,,5,,15,,600,,60,,20,
1644,25,,5,,20,,6000,,50,,30,
1645,21,,5,,18,,3600,,50,,20,
1646,22,,5,,18,,6000,,60,,20,
1647,20,,5,,15,,3600,,60,,20,
1648,20,,5,,15,,6000,,60,,50,
1649,25,,5,,20,,600,,60,,20,
1650,20,,2,,15,,6000,,60,,20,
1651,25,,10,,20,,300,,60,,50,
1652,20,,5,,18,,6000,,70,,20,
1653,18,,2,,15,,6000,,60,,50,
1654,25,,10,,20,,3600s,,60,,20,
1655,25,,10,,20,,18000,,60,,50,
1656,25,,5,,20,,6000,,70,,20,
1657,25,,10,,20,,30000,,60,,50,
1658,25,,3,,20,,6000,,60,,50,
1659,20,25,5,10,15,20,3000,3500,50,70,30,50
1660,25,,5,,20,,3600,,60,,10,
1661,22,,5,,18,,600,,60,,20,
1662,25,,5,,20,,3600,,70,,10,
1663,20,,5,,18,,6000,,70,,20,
1664,25.5,,10,,20,,300,,70,,50,
1665,20,,5,,18,,3600,,70,,50,
1666,25,,5,,20,,6000,,60,,20,
1667,25,,5,,20,,6000,,70,,50,
1668,25,,5,,20,,600,,60,,20,
1669,20,,5,,18,,600,,60,,50,
1670,25,,5,,20,,3600,,70,,20,
1671,15,25,5 , 10,10 , 20,18000 , 22000,40 , 60,20 , 30
1672,25,,5,,20,,6000,,60,,50,
1673,25,,10,,20,,3600,,50,,50,
1674,15,25,5,10,10,20,3000,3500,40,60,50,
1675,25,,5,,20,,3600,,60,,20,
1676,20,,5,,18,,6000,,60,,30,
1677,20,,5,,18,,3600,,60,,50,
1678,15,,3,,12,,3600,,60,,10,
1679,18,,5,,15,,24000,,60,,20,
1680,18,,3,,15,,24000,,60,,10,
1681,18,,5,,20,,3600,,60,,20,
1682,27.5,,5,,25,,28800,,70,,50,
1683,15,,5,,20,,12000,,60,,50,
1684,18,,5,,15,,600,,60,,20,
1685,20,,5,,18,,6000,,60,,20,
1686,23,,5,,18,,3000,,60,,20,
1687,18,,2,,15,,30000,,50,,20,
1688,25,,10,,20,,600,,70,,20,
1689,,,,,,, ,,,,,
1690,20,,5,,15,,30000,,60,,20,
1691,15,,5,,10,,3600,,70,,30,
1692,20,,5,,18,,3600,,60,,20,
1693,15,25,2,4,10,20,18000,22000,40,60,10,
1694,20,,5,,15,,3600,,60,,20,
1695,25,,5,,20,,3600,,70,,10,
1696,25,,5,,20,,6000,,70,,10,
1697,18,,5,,15,,24000,,60,,20,
1698,20,,5,,15,,6000,,60,,20,
1699,20,,2,,18,,6000,,50,,30,
1700,20,,5,,15,,18000,,60,,10,
1701,18,,4,,15,,3600,,50,,20,
1702,20,,5,,15,,3600,,60,,50,
1703,22,,5,,18,,3600,,50,,20,
1704,20,,5,,18,,12000,,70,,20,
1705,15,25,2,4,10,20,24000,28000,40,60,10,
1706,15.5,,5.2,,14.2,,18000,,60,,20,
1707,25,,5,,22,,30000,,60,,100,
1708,25.6,,4.2,,22.3,,28800,,65,,50,
1709,25,,10,,20,,3600,,60,,50,
1710,20,,3,,15,,5000,,60,,10,
1711,25,,5,,20,,6000,,60,,20,
1712,18,,3,,15,,30000,,60,,20,
1713,15,,5,,18,,6000,,70,,20,
1714,20,,5,,15,,18000,,50,,10,
1715,15,30,2,5,15,25,24000,28000,40,70,20,
1716,20,,2,,15,,3600,,60,,10,
1717,25,35,5,10,20,30,2000,2500,40,60,100,
1718,18,,5,,15,,24000,,60,,20,
1719,10.5,,5.2,,12.8,,18000s,,65,,20,
1720,21,,5,,18,,24000,,50,,50,
1721,25,,5,,20,,3600,,60,,20,
1722,20,,5,,15,,600s,,60,,10,
1723,25,,10,,20,,3600,,60,,50,
1724,20,,5,,18,,24000,,65,,20,
1725,10,,5,,8,,10000,,70,,20,
1726,20,,5,,18,,3600,,60,,20,
1727,20,,5,,15,,3600,,60,,20,
1728,,,,,,, ,,,,,
1729,22,,5,,18,,30000,,70,,30,
1730,22,,5,,18,,3600,,60,,20,
1731,10,25,3,5,10,20,24000,28000,40,60,20,
1732,18,,5,,15,,3600,,60,,10,
1733,20,,5,,15,,24000,,60,,30,
1734,20,,5,,18,,12000,,70,,20,
1735,25,,5,,20,,600,,50,,50,
1736,20,,5,,18,,3600,,60,,20,
1737,15,,5,,12,,3600,,70,,50,
1738,25,,5,,20,,600,,60,,20,
1739,25,,5,,20,,6000,,60,,20,
1740,25,,5,,20,,3600,,60,,20,
1741,25,,10,,20,,6000,,70,,20,
1742,22,,5,,20,,3000,,60,,20,
1743,23,,5,,18,,3600,,65,,20,
1744,25,,5,,20,,6000,,60,,20,
1745,18,,5,,15,,3600s,,70,,20,
1746,25,,10,,20,,3600,,60,,20,
1747,25,,5,,20,,3600,,60,,20,
1748,25,,5,,20,,6000,,60,,50,
1749,20,,5,,18,,8000,,50,,20,
1750,20,,5,,15,,3000,,60,,20,
1751,20,,5,,15,,3000,,70,,20,
1752,25,,5,,20,,12000,,60,,50,
1753,20,,5,,15,,3600,,70,,15,
1754,25,,5,,20,,6000,,60,,20,
1755,20,,5,,15,,3600,,60,,20,
1756,25,,5,,20,,6000,,70,,15,
1757,18,,5,,15,,3600,,60,,10,
1758,25,,10,,20,,6000,,60,,50,
1759,25,,5,,20,,3000,,60,,20,
1760,20,,5,,18,,6000,,60,,30,
1761,25,,10,,20,,6000,,60,,30,
1762,20,,5,,18,,600s,,50,,15,
1763,25,,5,,20,,6000,,60,,50,
1764,25,,5,,20,,3600,,70,,20,
1765,18,,5,,16,,3600,,60,,20,
1766,25,,5,,20,,3600,,60,,50,
1767,20,25,5,10,15,20,2400,2800,50,70,20,
1768,20,,10,,18,,300s,,60,,50,
1769,20,,5,,15,,6000,,60,,20,
1770,20,,5,,18,,3600,,60,,50,
1771,18,,5,,15,,18000,,60,,20,
1772,18,,5,,15,,3600,,70,,30,
1773,20,,5,,25,,3600s,,60,,20,
1774,25,,5,,20,,3600,,70,,50,
1775,25,,5,,20,,6000,,60,,20,
1776,25,,5,,20,,3600,,60,,20,
1777,25,,5,,20,,6000,,60,,20,
1778,20,24,10,20,18,22,24000,28000,40,60,50,70
1779,20,,5,,18,,6000,,60,,10,
1780,23.5,,10.2,,18.7,,4200,,55,,30,
1781,25,,10,,20,,3600,,60,,20,
1782,20,,5,,18,,18000,,60,,10,
1783,25,,10,,20,,300,,60,,30,
1784,20,,5,,18,,18000,,70,,20,
1785,20,,5,,15,,18000,,60,,20,
1786,25,,5,,20,,600,,70,,10,
1787,20,,5,,15,,600,,60,,50,
1788,25,,5,,20,,600,,70,,20,
1789,20,25,2 , 4,15 , 20,3600 , 4200,60 , 80,20,
1790,25,,5,,20,,3600,,70,,30,
1791,25,,10,,20,,6000,,70,,50,
1792,20,,10,,18,,6000,,70,,20,
1793,20,,5,,18,,3600,,60,,20,
1794,25,,5,,20,,20000,,60,,20,
1795,25,,10,,20,,18000,,60,,50,
1796,25,,10,,20,,6000,,60,,50,
1797,25,,10,,20,,3600,,60,,50,
1798,25,,5,,20,,600,,70,,50,
1799,25,,10,,20,,600s,,70,,50,
1800,18,,5,,15,,28000,,70,,20,
1801,20,,5,,18,,6000,,60,,20,
1802,25,,5,,20,,6000,,50,,20,
1803,18,,5,,15,,6000,,70,,10,
1804,25,,5,,20,,6000,,70,,20,
1805,25,,5,,20,,6000,,60,,20,
1806,20,,5,,18,,3600,,70,,50,
1807,20,,5,,15,,3600,,80,,20,
1808,25,,10,,20,,6000,,60,,50,
1809,25,,10,,20,,6000,,70,,50,
1810,25,,5,,20,,6000,,70,,20,
1811,22,,10,,18,,3000,,60,,50,
1812,25,,5,,20,,6000,,60,,10,
1813,25,,10,,20,,6000,,60,,50,
1814,25.5,,10.2,,23.8,,300,,60,,40,
1815,20,,5,,18,,600,,60,,20,
1816,25,,5,,20,,6000,,60,,20,
1817,25,,5,,20,,3000,,60,,50,
1818,25,,5,,20,,6000,,70,,50,
1819,25,,10,,20,,6000,,60,,50,
1820,25,,5,,20,,6000,,60,,20,
1821,20,,5,,18,,600,,60,,20,
1822,20,,5,,18,,12000,,60,,20,
1823,25,,10,,20,,300,,60,,20,
1824,20,,5,,18,,6000,,60,,20,
1825,25,,5,,20,,6000,,60,,20,
1826,25,,5,,20,,6000,,60,,20,
1827,21,,2.5,,18,,28800,,60,,10,
1828,20,,5,,18,,3600,,60,,20,
1829,20,,5,,18,,24000,,60,,15,
1830,18,,5,,15,,18000,,60,,50,
1831,22,,2,,20,,6000,,50,,10,
1832,25,,5,,20,,6000,,60,,50,
1833,25,,10,,20,,3600,,60,,50,
1834,25,,5,,20,,600s,,60,,50,
1835,25,,5,,20,,60000,,60,,20,
1836,20,,5,,18,,6000,,70,,50,
1837,23,,10,,20,,3600,,50,,50,
1838,18,,5,,15,,3600,,80,,20,
1839,15,,5,,10,,18000,,60,,20,
1840,22,,5,,18,,3600,,60,,20,
1841,25,,10,,20,,3600,,60,,50,
1842,24,,5,,22,,3600,,70,,20,
1843,20,,5,,18,,600,,60,,10,
1844,24,,5,,18,,3000,,60,,20,
1845,25,,10,,20,,30000,,70,,50,
1846,15,20,5,10,12,15,18000,20000,70,80,50,
1847,22,,5,,18,,6000,,70,,50,
1848,18,24,nan,,20,25,nan,,40,60,nan,
1849,18.5,,5.2,,15.3,,24000,,75,,20,
1850,25.6,,5.2,,18.3,,28800,,60,,50,
1851,25,,5,,20,,3000,,60,,30,
1852,25,,5,,20,,6000,,60,,20,
1853,25,,5,,18,,6000,,60,,20,
1854,25,,5,,20,,3600,,60,,20,
1855,24.5,,3.2,,19.8,,24000,,60,,50,
1856,25.5,,10.2,,22.3,,3000s,,55,,50,
1857,20,,5,,15,,3600,,70,,30,
1858,25,,5,,20,,600,,60,,20,
1859,20,,5,,18,,6000,,70,,20,
1860,22,,5,,18,,6000,,60,,20,
1861,20,,5,,15,,600,,70,,20,
1862,25,,10,,20,,3000,,60,,50,
1863,25,,10,,22,,6000,,60,,50,
1864,24,,5,,22,,600,,75,,20,
1865,25,,5,,20,,3600,,70,,20,
1866,20,,5,,15,,3600s,,60,,50,
