Plant Category,Seed Name,Average Temperature (2 m),Average Precipitation per day,Average Soil Temperature (0 to 6 cm),Average Soil Moisture (0-3 cm),Average Evapotranspiration,Average Sunshine Duration,Humidity(%),Soil Type,Best Growing Areas,Season,Wind Threshold(km/h),Heat Wave Maximum Temprature (°C),Rainfall Alert Maximum Rain (mm),Watering (hours interval),List of Fertilization,Time Period for Fertilization (weeks interval),Maximum Height of Plant (inches),maximum area this plant require(inches),soil depth for sowing(inches),Plant name
Perennial,Amerikanpioni,20,5,18,0.5,3,3600,60,"[""Loam"",""Sandy loam"",""Clay loam""]","[""North America"",""Europe"",""Asia""]","[""Late spring"",""Summer"",""Early autumn""]",30,35,20,24,"[""Nitrogen"",""Phosphorus"",""Potassium""]",4,24,12,2,amerikanpioni
Flowering Plant,Amerikanvuokko,18,5,15,0.4,4,6000,60,"[""Loam"",""Silt"",""Clay""]","[""North America"",""Europe""]","[""Spring"",""Summer""]",30,35,20,48,"[""NPK fertilizer"",""Organic compost""]",4,12,12,0.2,amerikanvuokko
Flowering Plant,Amurinkärsäkalla,20-25,5-10,15-20,0.2-0.4,3-5,5000-6000,50-70,"[""Loam"",""Sandy Loam""]","[""Northern Europe"",""North America""]","[""Late Spring"",""Summer""]",20-30,30-35,20-30,24-48,"[""Organic Compost"",""Liquid Fertilizer""]",4-6,18-24,12-18,0.5-1,amurinkärsäkalla
Perennial Flower,Amurin Pioni,18,5,15,0.3,3,3600,50,"[""Loam"",""Sandy Loam"",""Clay""]","[""Europe"",""North America"",""Asia""]","[""Late Spring"",""Summer""]",40,30,20,48,"[""Nitrogen"",""Phosphorus"",""Potassium""]",4,36,24,0.5,amurinpioni
Flowering Plant,Arovuokko,15-25,5-10,10-15,0.2-0.4,2-4,3000-4000,50-70,"[""Loam"",""Sandy Loam"",""Clay Loam""]","[""Northern Europe"",""Canada"",""Northern United States""]","[""Summer"",""Early Autumn""]",40-50,30-35,20-30,48-72,"[""NPK fertilizer"",""Organic compost""]",4-6,6-12,12-18,0.5-1,arovuokko
Flower,Aurankukka,10°C,5 mm,8°C,0.3 m³/m³,3 mm/day,600 seconds,70%,"[""Loam"",""Sandy loam"",""Clay loam""]","[""Northern Europe"",""Scandinavia"",""Russia""]","[""Late spring"",""Summer""]",30 km/h,30°C,20 mm,24 hours,"[""NPK fertilizers"",""Organic compost""]",4 weeks,24 inches,12 inches,1 inch,aurankukka
Flowering Plant,Auringontähti,20,5,15,0.4,3,3000,60,"[""Loam"",""Sandy loam"",""Clay loam""]","[""Northern Europe"",""Scandinavia"",""Baltic countries""]","[""Late Spring"",""Summer"",""Early Autumn""]",40,30,20,48,"[""Organic compost"",""Slow-release granular fertilizer""]",4,36,12,0.5,auringontähti
Fruit,Avomaankurkku,20,3,18,0.4,4,3600,70,"[""Loam"",""Sandy loam""]","[""Northern Europe"",""Scandinavia""]","[""Late spring"",""Summer""]",40,35,10,48,"[""Organic compost"",""Liquid seaweed fertilizer""]",2,20,24,1,avomaankurkku
Flowering plant,Balkaninkellokki,20-25,5-10,15-20,0.3-0.6,3-5,6000-7000,40-60,"[""Loam"",""Sandy loam"",""Clay loam""]","[""Balkans"",""Eastern Europe"",""Central Europe""]","[""Late spring"",""Summer"",""Early autumn""]",20-30,35-40,50-60,48-72,"[""Nitrogen"",""Phosphorus"",""Potassium""]",4-6,18-24,12-18,0.5-1,balkaninkellokki
Herb,Basilika,25,5,20,0.3,3,30000,50,"[""Loam"",""Clay"",""Sandy""]","[""Mediterranean"",""Tropical"",""Subtropical""]","[""Late Spring"",""Summer"",""Early Autumn""]",40,35,20,24,"[""Nitrogen-based"",""Potassium-based""]",4,24,12,0.5,basilika
Leafy Vegetable,Bataviasalaatti,18,5,15,0.3,4,18000,70,"[""Loamy"",""Sandy""]","[""Europe"",""North America"",""Asia""]","[""Spring"",""Autumn""]",40,30,20,48,"[""Organic compost"",""Liquid seaweed fertilizer""]",2,12,12,0.5,bataviasalaatti
Chili Paprika, ,25,5,20,0.3,3,30000,60,"[""loam"",""sandy loam"",""clay loam""]","[""Mediterranean region"",""Southwest United States"",""Mexico""]","[""Spring"",""Summer"",""Autumn""]",40,35,50,48,"[""NPK 10-10-10"",""Compost"",""Bone Meal""]",4,24,12,0.5,chilipaprika
Flowering plant,Elleninneilikka,20,5,18,0.3,3,18000,70,"[""Loam"",""Sandy loam"",""Clay""]","[""Northern Europe"",""North America"",""Asia""]","[""Late spring"",""Summer"",""Early autumn""]",30,35,20,48,"[""Organic compost"",""Slow-release granular fertilizer""]",4,24,12,0.5,elleninneilikka
Perennial,Etelänkevätesikko,20,5,18,0.4,3,18000,50,"[""Loam"",""Clay"",""Sandy""]","[""Southern Finland"",""Northern Europe""]","[""Late Spring"",""Summer"",""Early Autumn""]",40,35,20,48,"[""Nitrogen-based fertilizer"",""Potassium-based fertilizer""]",4,12,12,2,etelänkevätesikko
Perennial,Etelänruusuruoho,15-25,5-10,15-20,0.2-0.3,3-5,4-6,50-70,"[""Loam"",""Clay"",""Sandy""]","[""Southern Europe"",""Mediterranean region""]","[""Late spring"",""Summer"",""Early autumn""]",30,35,20,48-72,"[""NPK 10-10-10"",""Organic compost""]",4-6,12-18,12-18,0.5-1,etelänruusuruoho
Shrub,Euroopanhernepensas,20,5,15,0.3,3,6000,60,"[""Sandy loam"",""Clay loam""]","[""Europe"",""Northern America"",""Asia""]","[""Spring"",""Summer"",""Autumn""]",50,35,20,24,"[""NPK fertilizer"",""Compost""]",4,60,36,1,euroopanhernepensas
Vegetable,Fenkoli,20,5,18,0.3,3,3000,60,"[""Loam"",""Sandy loam"",""Clay loam""]","[""Mediterranean region"",""Northern Europe"",""North America""]","[""Spring"",""Summer""]",40,35,10,48,"[""Organic compost"",""Nitrogen-rich fertilizer""]",4,36,12,0.5,fenkoli
Cereal,Hapsihirssi,10-25,5-15,10-20,0.2-0.4,3-6,18000-22000,40-70,"[""Loam"",""Sandy loam"",""Silt loam""]","[""Northern Europe"",""North America"",""Asia""]","[""Spring"",""Summer""]",20,30,30,48,"[""Nitrogen"",""Phosphorus"",""Potassium""]",4-6,24,4,1,hapsihirssi
Perennial Flower,Harjaneilikka,18,5,15,0.3,2,6000,60,"[""Loam"",""Sandy Loam"",""Clay""]","[""Northern Europe"",""Scandinavia"",""Baltic States""]","[""Late Spring"",""Summer""]",40,30,20,48,"[""NPK 10-10-10"",""Organic Compost""]",4,24,12,0.5,harjaneilikka
Flowering Plant,Harmaakäenkukka,20,5,15,0.3,4,600,70,"[""Loam"",""Sandy Loam"",""Clay Loam""]","[""Northern Europe"",""Scandinavia"",""Boreal regions""]","[""Late spring"",""Summer""]",30,35,20,48,"[""Organic compost"",""Slow-release granular fertilizer""]",4,24,16,0.5,harmaakäenkukka
Flowering Plant,Harmaamalvikki,20,5,15,0.2,3,6000,60,"[""Loam"",""Clay"",""Sandy""]","[""Temperate regions"",""Coastal areas""]","[""Late spring"",""Summer""]",40,35,20,48,"[""NPK fertilizer"",""Compost""]",4,24,12,0.5,harmaamalvikki
Pepper,Havanna Paprika,25,5,20,0.3,3,6000,60,"[""Loam"",""Sandy loam"",""Clay loam""]","[""Southwest United States"",""Mexico"",""Central America""]","[""Late spring"",""Summer"",""Early autumn""]",40,35,50,48,"[""NPK fertilizer"",""Organic compost""]",2,36,24,0.5,havannapaprika
Perennial Flower,Helluntaikurjenmiekka,15-25,5-10,12-18,0.3-0.5,3-5,6-8,50-70,"[""Loam"",""Sandy"",""Clay""]","[""Northern Europe"",""North America"",""Asia""]","[""Spring"",""Summer""]",20,30,20,48,"[""NPK"",""Compost""]",4-6,36,12,2,helluntaikurjenmiekka
Herb,Helmivalkosipuli,18,5,15,0.4,4,3600,60,"[""Loam"",""Sandy loam"",""Clay loam""]","[""Northern Europe"",""Scandinavia"",""Russia""]","[""Late spring"",""Summer"",""Early autumn""]",40,30,20,48,"[""Organic compost"",""Fish emulsion"",""Bone meal""]",4,24,16,2,helmivalkosipuli
Vegetable,Herkkuhyppykurkku,20,5,18,0.3,4,600,60,"[""sandy loam"",""loam"",""clay loam""]","[""Northern Europe"",""Scandinavia""]","[""Summer"",""Early Autumn""]",30,30,10,6,"[""NPK fertilizer"",""compost""]",2,12,24,2,herkkuhyppykurkku
Perennial Flower,Herttakello,20,5,15,0.3,3,6000,50,"[""Sandy loam"",""Clay loam"",""Loamy soil""]","[""Northern Europe"",""North America"",""Asia""]","[""Late Spring"",""Summer""]",30,35,20,48,"[""NPK fertilizer"",""Organic compost""]",4,24,12,1,herttakello
Flowering plant,Hietalaukka,22,10,18,0.25,5,30000,60,"[""Sandy loam"",""Loamy sand"",""Silt loam""]","[""Coastal regions"",""Mediterranean climates""]","[""Spring"",""Summer""]",40,35,50,48,"[""Nitrogen"",""Phosphorus"",""Potassium""]",4,36,12,2,hietalaukka
Flowering Plant,Himalajanjalkalehti,25,5,20,0.4,3,3600,70,"[""Loam"",""Sandy Loam"",""Clay""]","[""Himalayas"",""Northern India"",""Southeast Asia""]","[""Spring"",""Summer""]",30,35,20,48,"[""NPK"",""Organic compost""]",4,24,36,2,himalajanjalkalehti
Perennial,Hirvenkello,15,5,12,0.3,4,3600,60,"[""Loamy"",""Sandy""]","[""Temperate regions"",""Woodlands""]","[""Late spring"",""Summer""]",40,30,20,48,"[""Nitrogen-rich fertilizer"",""Phosphorus-rich fertilizer""]",4,30,12,1.5,hirvenkello
Flowering plant,Hopeasyysvuokko,20,5,18,0.4,3,6000,60,"[""Loam"",""Sandy loam"",""Clay loam""]","[""Temperate regions"",""Northern Europe"",""North America""]","[""Spring"",""Summer""]",30,32,10,24,"[""NPK fertilizer"",""Organic compost""]",4,24,12,1,hopeasyysvuokko
Grass,Hulluruoho,10-25,2-5,8-20,0.2-0.6,2-5,3000-3500,40-70,"[""Loam"",""Sandy loam"",""Clay loam""]","[""Northern Europe"",""North America"",""Asia""]","[""Spring"",""Summer"",""Autumn""]",20-30,30-35,10-20,24-48,"[""Nitrogen"",""Phosphorus"",""Potassium""]",4-6,12-24,10-15,0.5-1,hulluruoho
Perennial,Humalanvieras,20,5,18,0.3,3,300,70,"[""Loam"",""Sandy loam"",""Clay loam""]","[""Temperate regions"",""Cool climates""]","[""Spring"",""Fall""]",30,35,50,48,"[""Organic compost"",""Fish emulsion"",""Seaweed extract""]",4,60,12,1,humalanvieras
Perennial,Hyvänheikinsavikka,20,5,18,0.4,3,3000,60,"[""Sandy loam"",""Loamy sand"",""Clay loam""]","[""Northern Europe"",""Scandinavia"",""Baltic States""]","[""Spring"",""Summer"",""Fall""]",30,30,20,48,"[""Organic compost"",""Liquid seaweed fertilizer""]",4,24,12,2,hyvänheikinsavikka
Legume,Härkäpapu,15,5,12,0.4,3,30000,70,"[""Sandy loam"",""Clay loam"",""Silt loam""]","[""Northern Europe"",""North America"",""Scandinavia""]","[""Spring"",""Summer""]",40,35,20,48,"[""Nitrogen-based fertilizers"",""Phosphorus-based fertilizers""]",4,60,30,2,härkäpapu
Flowering plant,Idänpensaskanukka,20,5,18,0.4,3,6000,65,"[""Sandy loam"",""Clay loam"",""Peat""]","[""Northern Europe"",""Canada"",""Alaska""]","[""Late spring"",""Summer"",""Early autumn""]",40,30,10,48,"[""NPK 10-10-10"",""Organic compost""]",4,36,12,1,idänpensaskanukka
Vegetable,Ilmasipuli,24,5,20,0.25,3,600,60,"[""Loam"",""Sandy loam"",""Clay loam""]","[""Mediterranean regions"",""Subtropical regions""]","[""Summer"",""Autumn""]",30,40,50,24,"[""NPK fertilizer"",""Compost""]",4,12,6,2,ilmasipuli
Flowering Plant,Iltahelokki,22,5,20,0.4,3,6000,60,"[""Loam"",""Sandy Loam"",""Clay Loam""]","[""Temperate regions"",""Mediterranean regions""]","[""Late spring"",""Summer""]",40,35,20,48,"[""NPK fertilizer"",""Organic compost""]",4,24,12,2,iltahelokki
Vegetable,Italiankaali,20,5,18,0.3,3,6000,60,"[""Loam"",""Clay"",""Sandy""]","[""Mediterranean region"",""Central Italy"",""Northern Italy""]","[""Spring"",""Autumn""]",40,35,50,48,"[""NPK fertilizer"",""Compost""]",4,24,12,1,italiankaali
Perennial Herb,Isohirvenjuuri,15,5,12,0.25,3,3600,70,"[""Loamy"",""Sandy""]","[""Northern Europe"",""Boreal Forests""]","[""Late Spring"",""Summer""]",40,25,20,48,"[""Organic compost"",""Slow-release granular fertilizer""]",4,24,36,0.5,isohirvenjuuri
Flowering Plant,Isoköynnöskrassi,20,5,18,0.3,4,6000,50,"[""Loamy"",""Sandy"",""Well-drained""]","[""Europe"",""North America"",""Asia""]","[""Spring"",""Summer"",""Autumn""]",40,35,20,24,"[""Nitrogen"",""Phosphorus"",""Potassium""]",4,12,24,0.2,isoköynnöskrassi
Flower,Isosamettikukka,18.5,5.2,15.2,0.35,3.8,23000,65,"[""Loam"",""Sandy loam"",""Clay loam""]","[""Temperate regions"",""Northern Europe"",""Scandinavia""]","[""Late Spring"",""Summer"",""Early Autumn""]",40,30,20,48,"[""NPK 10-10-10"",""Organic compost""]",4,24,36,0.5,isosamettikukka
Perennial,Isotakiainen,20,5,15,0.3,4,18000,60,"[""Loam"",""Sandy Loam""]","[""Northern Europe"",""North America"",""Asia""]","[""Late Spring"",""Summer"",""Early Autumn""]",40,30,20,48,"[""NPK 10-10-10"",""Compost""]",4,36,24,0.5,isotakiainen
Perennial,Isotähtiputki,18,3,15,0.3,2,300,70,"[""Loam"",""Sandy loam"",""Clay loam""]","[""Northern Europe"",""Scandinavia"",""Baltic region""]","[""Late Spring"",""Summer"",""Early Autumn""]",30,28,10,48,"[""Organic compost"",""Slow-release granular fertilizer""]",8,36,12,0.5,isotähtiputki
Perennial,Isotöyhtöangervo,18,5,15,0.25,3,3000,60,"[""Loam"",""Clay"",""Sandy""]","[""Northern Europe"",""North America"",""Asia""]","[""Late Spring"",""Summer"",""Early Autumn""]",30,35,20,24,"[""Compost"",""Organic fertilizer""]",6,24,36,0.5,isotöyhtöangervo
Flowering Plant,Isoukonkello,25,5,20,0.3,3,6000,60,"[""Loam"",""Sandy Loam"",""Clay""]","[""Mediterranean"",""Subtropical""]","[""Late Spring"",""Summer""]",30,35,20,48,"[""NPK"",""Compost""]",4,24,12,2,isoukonkello
Flowering plant,Isovahakukka,24,10,20,0.3,5,3600,60,"[""Loam"",""Silt"",""Clay""]","[""Temperate regions"",""Mediterranean regions""]","[""Late spring"",""Summer""]",30,35,20,48,"[""NPK fertilizer"",""Organic compost""]",4,36,12,0.5,isovahakukka
Flowering Plant,Jaloakileija,22,5,18,0.3,4,600,60,"[""Loam"",""Sandy loam"",""Clay loam""]","[""Temperate regions"",""Subtropical regions""]","[""Late spring"",""Summer""]",40,35,30,48,"[""NPK 10-10-10"",""Organic compost""]",4,12,12,1,jaloakileija
Perennial,Jalokiurunkannus,25,5,20,0.3,3,6000,70,"[""Sandy loam"",""Clay loam"",""Loamy soil""]","[""Tropical regions"",""Subtropical regions""]","[""Year-round cultivation""]",40,35,50,48,"[""Organic compost"",""Liquid seaweed fertilizer""]",4,24,12,2,jalokiurunkannus
Flowering Plant,Jalopähkämö,20,5,15,0.3,4,3600,60,"[""Loam"",""Sandy Loam"",""Clay Loam""]","[""Temperate regions"",""Northern Hemisphere""]","[""Early Spring"",""Late Spring"",""Summer""]",40,35,30,48,"[""NPK fertilizer"",""Organic compost""]",8,24,12,0.25,jalopähkämö
Flowering plant,Jaloritarinkannus,25,5,20,0.3,3,3000,60,"[""Loam"",""Sandy loam"",""Clay loam""]","[""Tropical regions"",""Subtropical regions""]","[""Spring"",""Summer""]",40,35,20,48,"[""NPK 20-10-10"",""Organic compost"",""Fish emulsion""]",4,24,12,1,jaloritarinkannus
Flowering Plant,Japaninhanhikki,25,5,20,0.4,3,3600,60,"[""Loam"",""Sandy"",""Clay""]","[""Japan"",""China"",""Korea""]","[""Spring"",""Summer""]",40,35,30,48,"[""LiquiGrow"",""Nature's Blend""]",4,36,24,1,japaninhanhikki
Flowering Plant,Japaninjättililja,20,5,15,0.3,2,6000,60,"[""Loam"",""Sandy Loam"",""Clay Loam""]","[""Japan"",""Sweden"",""Norway""]","[""Late Spring"",""Summer"",""Early Autumn""]",40,35,20,48,"[""NPK 10-10-10"",""Compost""]",4,60,12,2,japaninjättililja
Perennial,Japaninkaali,25.6,10.2,21.8,0.45,4.7,23400,70,"[""Loam"",""Sandy loam""]","[""Japan"",""China"",""Korea""]","[""Spring"",""Summer""]",40,35,50,48,"[""NPK"",""Compost""]",4,24,12,0.5,japaninkaali
Fruit Plant,Japaninruusukvitteni,25,5,20,0.3,4,3600,70,"[""Loam"",""Sandy Loam"",""Clay Loam""]","[""Japan"",""Finland"",""South Korea""]","[""Late Spring"",""Summer"",""Early Autumn""]",40,35,20,48,"[""NPK 10-10-10"",""Compost"",""Organic Fertilizer""]",4,60,24,1,japaninruusukvitteni
Shrub,Japaninsiipipähkinä,20,5,15,0.3,3,3000,70,"[""Loam"",""Sandy loam"",""Clay loam""]","[""Japan"",""Finland"",""Northern Europe""]","[""Spring"",""Summer"",""Autumn""]",40,35,50,24,"[""Organic compost"",""Slow-release fertilizer""]",4,60,36,0.5,japaninsiipipähkinä
Grass,Japaninsuolaheinä,14.5,3.2,12.3,0.25,2.8,24000,60,"[""Loam"",""Silt"",""Clay""]","[""Japan"",""Finland"",""Sweden""]","[""Spring"",""Summer"",""Autumn""]",40,35,20,48,"[""NPK"",""Compost""]",4,12,300,0.5,japaninsuolaheinä
Perennial Flower,Juhannusruusu,22,5,18,0.3,4,3600,50,"[""Loam"",""Sandy loam"",""Clay loam""]","[""Northern Europe"",""Scandinavia""]","[""Summer""]",40,35,30,48,"[""NPK 10-10-10"",""Compost""]",4,24,12,0.5,juhannusruusu
Herb,Juuripersilja,18,5,15,0.3,4,30000,60,"[""Loam"",""Sandy loam""]","[""Northern Europe"",""Scandinavia"",""Baltic States""]","[""Late Spring"",""Summer"",""Early Autumn""]",40,30,20,48,"[""Nitrogen-based fertilizer"",""Organic compost""]",4,24,12,0.5,juuripersilja
Vegetable,Juurisikuri,18,5,15,0.3,3,6000,70,"[""Loam"",""Clay""]","[""Northern Europe"",""Scandinavia""]","[""Spring"",""Autumn""]",30,25,20,48,"[""NPK"",""Compost""]",4,12,6,1,juurisikuri
Perennial,Jänönputki,12,4,10,0.4,2,2400,70,"[""Loam"",""Sandy loam"",""Clay loam""]","[""Northern Europe"",""Scandinavia"",""Baltic States""]","[""Spring"",""Summer""]",30,30,20,48,"[""Organic compost"",""Liquid seaweed fertilizer""]",6,40,12,0.5,jänönputki
Sunflower,Jättiauringonkukka,20,5,15,0.3,3,3600,60,"[""Loam"",""Sandy loam"",""Clay loam""]","[""Northern Europe"",""Scandinavia"",""Canada""]","[""Late Spring"",""Summer""]",40,35,20,48,"[""Nitrogen"",""Phosphorus"",""Potassium""]",4,120,36,2,jättiauringonkukka
Perennial,Jättikarhunputki,10,5,12,0.4,2,5000,60,"[""Sandy loam"",""Clay loam"",""Peat soil""]","[""Northern Europe"",""Scandinavia""]","[""Late spring"",""Summer""]",40,28,20,48,"[""Nitrogen-rich fertilizer"",""Potassium-rich fertilizer""]",6,120,48,0.4,jättikarhunputki
Vegetable,Jättikurpitsa 28,20,5,15,0.3,4,600,60,"[""loam"",""sandy loam"",""clay""]","[""Northern Europe"",""North America""]","[""Late spring"",""summer"",""early autumn""]",40,35,20,48,"[""nitrogen"",""phosphorus"",""potassium""]",2,24,100,2,"jättikurpitsa 28,"
Perennials,Jääpäivikki,15,4,12,0.35,2,600,60,"[""Sandy loam"",""Loam"",""Clay loam""]","[""Northern Europe"",""Scandinavia"",""Canada""]","[""Late spring"",""Summer"",""Early autumn""]",30,30,20,48,"[""Organic compost"",""Slow-release granular fertilizer""]",4,12,12,0.5,jääpäivikki
Leafy Vegetables,Jäävuorisalaatti,18,5,15,0.25,3,3600,70,"[""Loam"",""Sandy Loam"",""Clay""]","[""Cool temperate regions"",""Northern Europe"",""North America""]","[""Spring"",""Early Summer"",""Autumn""]",30,28,10,24,"[""NPK 10-10-10"",""Compost""]",4,12,12,0.5,jäävuorisalaatti
Flowering Plant,Kakalia,25,5,20,0.4,3,3600,70,"[""Loam"",""Sandy"",""Clay""]","[""Tropical regions"",""Subtropical regions""]","[""Spring"",""Summer""]",30,35,10,48,"[""NPK 10-10-10"",""Organic compost""]",4,24,12,1,kakalia
Flowering plant,Kaljukultasade,25,5,20,0.3,3,6000,70,"[""Loam"",""Sandy loam""]","[""Tropical regions"",""Subtropical regions""]","[""Spring"",""Summer""]",30,35,10,48,"[""Nitrogen-based fertilizer"",""Phosphorus-based fertilizer""]",4,36,24,1,kaljukultasade
Perennial,Kalliokielo,20,5,15,0.3,3,6000,60,"[""Well-drained soil"",""Sandy soil""]","[""Rocky areas"",""Alpine regions""]","[""Late spring"",""Summer""]",30,35,10,24,"[""Organic compost"",""Slow-release granular fertilizer""]",6,12,8,0.5,kalliokielo
Flowering plant,Kamomillasaunio 29,20°C,5 mm,18°C,0.3 m³/m³,4 mm/day,10 seconds,60%,"[""Loam"",""Sandy"",""Clay""]","[""Temperate regions"",""Mediterranean climates""]","[""Spring"",""Summer""]",20 km/h,35°C,50 mm,Every 2 days,"[""Organic compost"",""Liquid seaweed fertilizer""]",Every 4 weeks,12 in,12x12 in,1 in,"kamomillasaunio 29,"
Herbaceous perennial plant,Karhunjuuri,10-15,5-10,10-15,0.3-0.5,2-5,18000-22000,60-80,"[""Loamy soil"",""Sandy soil"",""Clay soil""]","[""Northern Europe"",""North America"",""Asia""]","[""Spring"",""Summer"",""Fall""]",20,30,20,48,"[""Nitrogen-based fertilizer"",""Phosphorus-based fertilizer""]",4-6,24,12,1-2,karhunjuuri
Perennial Herb,Karhunlaukka,10,5,12,0.4,2,24000,70,"[""Loam"",""Sandy loam"",""Clay""]","[""Northern Europe"",""North America"",""Asia""]","[""Early Spring"",""Late Spring""]",30,30,20,48,"[""Compost"",""Organic fertilizer""]",4,20,10,1,karhunlaukka
Perennial,Karhunputki,12,5,10,0.3,3,3600,60,"[""Loam"",""Sandy loam"",""Clay loam""]","[""Northern Europe"",""North America""]","[""Late spring"",""Summer""]",40,30,20,48,"[""Organic compost"",""Slow-release granular fertilizer""]",4,60,24,0.2,karhunputki
Perennial Flower,Karstaohdake,18,5,15,0.3,4,3600,75,"[""Loam"",""Clay"",""Sandy""]","[""Northern Europe"",""North America"",""Asia""]","[""Spring"",""Summer""]",40,30,10,24,"[""NPK"",""Compost""]",4,48,24,1,karstaohdake
Herb,Karvakirveli,22,5,18,0.5,3,3600,60,"[""Loam"",""Sandy loam""]","[""Temperate regions"",""Northern Europe""]","[""Spring"",""Summer""]",30,35,20,48,"[""Organic compost"",""All-purpose fertilizer""]",4,24,12,0.5,karvakirveli
Shrub,Karviainen,12,5,10,0.4,3,24000,70,"[""Loam"",""Clay"",""Sandy""]","[""Northern Europe"",""North America"",""Asia""]","[""Late Spring"",""Early Summer""]",40,30,20,24,"[""Nitrogen"",""Phosphorus"",""Potassium""]",4,60,36,2,karviainen
Root Vegetable,Kaskinauris,18,4,15,0.3,3,3600,60,"[""Loam"",""Sandy loam"",""Silty loam""]","[""Northern Europe"",""Canada"",""Russia""]","[""Early Spring"",""Late Summer"",""Early Fall""]",40,30,10,48,"[""NPK 10-10-10"",""Compost""]",4,16,12,2,kaskinauris
Perennial Flowering Plant,Kaukasiankellokki,20,5,15,0.4,3,6000,65,"[""Loam"",""Clay"",""Sandy""]","[""Northern Europe"",""Eastern Europe"",""Caucasus Region""]","[""Late Spring"",""Summer"",""Early Autumn""]",40,35,20,48,"[""NPK 10-10-10"",""Organic Compost""]",4,24,12,1,kaukasiankellokki
Flowering Plant,Kaukasiankirahvinkukka,22.5,5.4,18.3,0.23,3.8,28800,70,"[""Loam"",""Sandy Loam"",""Clay""]","[""Temperate regions"",""Coastal areas""]","[""Late Spring"",""Summer"",""Early Autumn""]",25,35,20,48,"[""NPK fertilizer"",""Organic compost""]",4,24,36,0.5,kaukasiankirahvinkukka
Perennial Flower,Kaukasianpioni,20,5,18,0.3,3,6000,60,"[""Loam"",""Sandy Loam"",""Clay""]","[""Europe"",""North America"",""Asia""]","[""Late Spring"",""Summer""]",40,32,20,48,"[""Organic compost"",""Slow-release fertilizer""]",4,36,24,2,kaukasianpioni
Perennial,Kaukasiantähtiputki,15,5,12,0.3,3,24000,60,"[""Loam"",""Sandy loam"",""Clay loam""]","[""Northern Europe"",""Scandinavia"",""Baltic States""]","[""Spring"",""Summer""]",30,30,50,48,"[""Organic compost"",""Slow-release granular fertilizer""]",4,60,18,0.2,kaukasiantähtiputki
Perennial,Kaunokurjenmiekka,18,5,15,0.4,3,6000,60,"[""Loam"",""Sandy"",""Clay""]","[""Northern Europe"",""North America"",""Asia""]","[""Spring"",""Summer""]",40,30,20,48,"[""Organic compost"",""Slow-release granular fertilizer""]",4,40,24,2,kaunokurjenmiekka
Cereal,Kaura 25,20,5,18,0.2,3,3000,50,"[""Sandy loam"",""Loamy sand"",""Clay loam""]","[""North America"",""Europe"",""Asia""]","[""Spring"",""Summer""]",40,35,10,48,"[""Nitrogen-based"",""Phosphorus-based"",""Potassium-based""]",4,48,36,2,"kaura 25,"
Root Vegetable,Kaurajuuri,15,5,12,0.4,2,6000,60,"[""Loam"",""Sandy Loam"",""Clay""]","[""Northern Europe"",""Scandinavia""]","[""Spring"",""Summer""]",40,25,20,24,"[""Nitrogen"",""Phosphorus"",""Potassium""]",4,12,8,2,kaurajuuri
Flowering Plant,Keijunmekko,20 °C,5 mm,18 °C,0.25 m³/m³,3 mm/day,600 seconds,60%,"[""Sandy loam"",""Loamy sand"",""Clay loam""]","[""Temperate regions"",""Subtropical regions""]","[""Spring"",""Summer""]",20 km/h,35 °C,100 mm,48 hours,"[""Organic compost"",""Slow-release granular fertilizer""]",4 weeks,24 in,12 in,0.5 in,keijunmekko
Flowering plant,Keijuängelmä,18,5,15,0.4,3,600,70,"[""Loam"",""Sandy loam"",""Clay loam""]","[""Temperate regions"",""Subtropical regions""]","[""Late spring"",""Summer"",""Early autumn""]",30,30,20,48,"[""Organic compost"",""Slow-release granular fertilizer""]",4,24,12,2,keijuängelmä
Perennial Flower,Keisarinkruunu,15,5,12,0.3,3,6000,60,"[""Loam"",""Sandy loam"",""Clay loam""]","[""Temperate regions"",""Northern Europe""]","[""Spring"",""Summer"",""Early Autumn""]",40,30,20,48,"[""NPK 10-10-10"",""Organic compost"",""Bone meal""]",4,30,12,0.5,keisarinkruunu
Legume,Keittopapu,25,5,20,0.3,3,6000,70,"[""Loam"",""Sandy loam"",""Clay loam""]","[""Tropical regions"",""Subtropical regions""]","[""Spring"",""Summer""]",20,35,50,48,"[""Nitrogen"",""Phosphorus"",""Potassium""]",4,36,12,2,keittopapu
Flowering Plant,Kellokärhö,15 °C,5 mm,12 °C,0.4 m³/m³,3 mm/day,2400 seconds,70%,"[""Loam"",""Sandy Loam"",""Clay Loam""]","[""Northern Europe"",""Scandinavia"",""Baltic region""]","[""Late Spring"",""Summer"",""Early Autumn""]",30 km/h,30 °C,50 mm,48 hours,"[""Organic compost"",""Slow-release granular fertilizer""]",4 weeks,24 in,12 in,1 in,kellokärhö
Perennial Flower,Kellotähdikki,18,5,15,0.4,3,6000,60,"[""Loam"",""Sandy Loam"",""Clay Loam""]","[""Northern Europe"",""North America"",""Asia""]","[""Late Spring"",""Summer"",""Early Autumn""]",30,30,20,48,"[""Organic compost"",""Slow-release granular fertilizer""]",4,18,12,0.2,kellotähdikki
